v1,v2,category
spam,"[Webë°__]ifg@¸ì__¦¬ê²____.ifg@[¼ì__ª°] HR(¸ì_)ifg@__ ë§¤ë_ __.ifg@ifg@[¼ì__ª°]__ ì§__ ëª¨ì_ __ê¸ ê°__,__,ë§_,_¦¬ê²____.ifg@ifg@- __ ¸ë_ë³´ë_ ê±°ë___ ë§_ ê´ê³__ ì§__ë¶__ ëª¨ì___ ____.ifg@- ¬ì_ _¬´¼ë_ _²½°ê_ ´ì___ ¼í_ì£¼ì_ ë¶__ë© ì¢__µë_.ifg@- ìµ____ ê¸°ë³¸__ __ ê°__ê³ °ë_ ì£¼ì_ê¸ ë°____.ifg@ifg@*. ì²____ê±°ë_ ì´_³´ ë¶__ ½ê_ __  ____.ifg@*. __, ì£¼ë, ì·¨ì_ ì¤ë¹__  ëª¨ë___ ìµ__ ì§__ _³µifg@*. ë³¸ì_ __ë§__ __ ë°____ __ ì§__ifg@*. ¬ëë³´í_ ë¯¸ì_©ì_ë¡ ë¶ ë° ¬í___ë¡ ê°_fg@ifg@- ëª¨ì_  : __, ì£¼ë, ì·¨ì_ ì¤ë¹__, _¦¬__  _µ¬ ê°_fg@- __ __ : ** ´ì_ ëª¨ë_ ¨ë~(ë¯¸ì___ ì£__©ë_)ifg@- ê·¼ë¬´ ¼ì_ : ì£*(__~ê¸__)ifg@- ê·¼ë¬´ __ : *__ ~ *__(ë³¸ì_ __ ë§_¶° _¬´ë°°ì_)ifg@- ê·¼ë¬´ ¥ì_ : ¥ì_ë¬´ê(¸ì_ ´ë___ ê°¥í___)ifg@- ¬ë ë³´í_ : ë¯¸ì__fg@- _¬´ ë°©ë_ : °ë_ì£¼ì_ë© __ _¦¬ê²____.ifg@- ê¸  : ¼ë_ ***,*** +@(¹ì___ __)ifg@ifg@[ __ ë¬¸ì_ ]ifg@-- ¤ì_ê°__ : https://han.gl/HNUdjqifg@(URLë§__ ´ë¦­ > ì±__¼ë_ ë¬¸ì__¸° ´ë¦­)ifg@ifg@ ê¸ ê¸ ½ì_ì£¼ì_ ê°__©ë_. ´ë_ _¬´ ´ë_´ì_ __ì§ë§, ì±__ê°__ __ ë¶ ì§ ë°____.ifg@ifg@*¸ì_ ´ë___ ¸í_ê³ ê°____ ê¸____  __ ë§_ ì§ ë¶__ë¦½ë_.ifg@*ì§__ê° ë§__ __ *:**~**:** ¬ì_ë¡ __¦¬ê³ __ ì°¸ê_ ë¶__ë¦½ë_.ifg@*µí___ ë§__ °ê²° ì§°ë_ ê²½ì_ ì±__ ì¶___ °ë_ __ë© ©ë_.",ê¸__
spam,[êµ_ë°__]ifg@[__ì¹´ë_]ifg@ê³___¹´(****)ê° __ì²_¦¬ __µë__fg@ë³¸ì__²­ __ ì¦__(****-****)ë¡ ë¬¸ì___ê¸¸ë___,ê¸__
spam,"[Webë°__]ifg@(ê´__) [´ì___]ifg@-´ì_ë¶ ê²½ê_ì§_fg@-__ _ ì·¨ì_ì¸µë_ __ ¼ì_ __ ____ë¹ ì§_fg@-__,ê³µì_.,__,_£¼ ê²½ì_ __ì§_fg@ifg@»ì¹´ì¹´ì_ __ë¬¸ì_ ifg@ifg@-ì¹  :  simm**ifg@-(__ê³__ ë§_ __¼ë_ ____ __  __ ë¶__ë¦½ë_.)ifg@ifg@-ì¹ ì¹   ´ê¸°__êµ¬ì_ê°__´ë_ë¡ ì¶_*:*ì±__¼ë_ ___²­´ì£¼_©´ ì¹____ ë¹_¥¸ __ __¦¬ê²____. ifg@ifg@*ë°__ë²__ ë¬¸ì_ë°__ __ ê´ê³__ __ _ ____.ifg@ ê³__¼ë_ ë¬¸ì_ __ __ ì§__ _ _¦¬ê²____.ifg@ifg@[____]ifg@´ì_ê¸__:ìµ__****ë§_fg@__ê¸_¦¬: *%~**%ifg@ì¶_¸°ê°:*~ìµ_ * ê¹_ifg@(ë§_¸° ¬ì___ * ¨ì_ë¡ ê°±ì_)ifg@__ë¡_ ì¶__ __ê°_fg@»ì_¸í_ __ ê¸_¦¬ ì¶__/_²­ µí_ __ê°¥í___.ifg@ifg@[__ë°©ë_]ifg@__ë¦¬ê_ê·____ifg@__ê¸°ì____fg@_____fg@»ì_ __ ¼ë __(ì¡°ê¸°)__ ê°¥í_ë©,ì¤____ __ë£ ë° ê¸°í ì·¨ê___ë£ ë©´ì_.ifg@ifg@[ _²©ì¡°ê±´ ]ifg@ì§__/¼ì_ì§/¬ì_/ì£¼ë/_¦¬__/__ì¢__/êµ°ì_/ê³__ì§/°ì²´/__/__/ì¶_³¼¤ì_ ±ë_ifg@*ë³´í_ ë¯¸ê__ifg@__ê³ °ë_ ê¸°ì ë¬´êifg@ifg@»ì____ __ì§ __ ê²½ì_ __ ë¬´ë___ê±°ëë¡ ±ë___ ì£¼ì_ê¸ ë°____.ifg@ë¬´ë_ê±°ë **********ifg@",ê¸__
spam,[êµ_ë°__]ifg@´ê_ë¬¸ë_ [KBêµ] ***-***-****** µì_ê°____µë_. ê°__ __ ë°____ ifg@ë¬¸ì___:****-****,ê¸__
spam,"[êµ_ë°__]ifg@[ì¹´ë_¹ì_]ifg@ê³____ ë¹_ë©´ì_ë¡_fg@____ êµ_ì¹´ë_ifg@__ ë°____µë__fg@ë³¸ì___ ___fg@ë¬¸ì_/__,?*,***,****",ê¸__
spam,[êµ_ë°__]ifg@ê¹_¸°_fg@[êµ]ifg@***-***-******ifg@ê³__ê°____ifg@´ì_´ì£¼__ ê°___¦½__ifg@ë¯¼ì_:** *** ****,ê¸__
spam,"[Webë°__]ifg@(ê´__) _____fg@ê³______ ¤ê¤ë_ ì¶__ ë§__ ê°ì¤__ __ ë¶´ì_ _¶©__ê³__ __ì¤__ ____,__,_²­,ê°¥í_ _²©__ë¡ ì¡°í___ __ _¦½__.ifg@ë³¸ë¬¸_ __ __ê³ __ê° _ ____ ë§___¸°__ë¡ ____ ´ë_ _¸°ë¥  ´ê²¨´ì_ê¸ ë°____.ifg@ifg@´ë___ ___ê° ´ë_´ë_¤ì_ __ ìµ_ **.ê°..ë¬..___ ___©°, ë§__ ´í_ ___²­ ë¶___ __´ì_ __ __  ____ê¸ ë°____.ifg@ifg@[´ì___]ifg@-´ì_ë¶ ê²½ê_ì§_fg@-__ _ ì·¨ì_ì¸µë_ __ ¼ì_ __ ____ë¹ ì§_fg@-__ê³µì_.__¬ì_ì£ ê²½ì_ __ì§_fg@ifg@»ì¹´ì¹´ì_ __ë¬¸ì_ ifg@ifg@-ì¹  : tg***ifg@-(__ê³__ ë§_ __¼ë_ ____ __  __ ë¶__ë¦½ë_.)ifg@ifg@-ì¹ ì¹   ´ê¸°__êµ¬ì_ê°__´ë_ë¡ ì¶_*:*ì±__¼ë_ ___²­´ì£¼_©´ ì¹____ ë¹_¥¸ __ __¦¬ê²____. ifg@ifg@*ë°__ë²__ ë¬¸ì_ë°__ __ ê´ê³__ __ _ ____.ifg@ ê³__¼ë_ ë¬¸ì_ __ __ ì§__ _ _¦¬ê²____.ifg@ifg@[____]ifg@´ì_ê¸__:ìµ__****ë§_fg@__ê¸_¦¬: *%~**%ifg@ì¶_¸°ê°:*~ìµ_ * ê¹_ifg@(ë§_¸° ¬ì___ * ¨ì_ë¡ ê°±ì_)ifg@__ë¡_ ì¶__ __ê°_fg@»ì_¸í_ __ ê¸_¦¬ ì¶__/_²­ µí_ __ê°¥í___.ifg@ifg@[__ë°©ë_]ifg@__ë¦¬ê_ê·____ifg@__ê¸°ì____fg@_____fg@»ì_ __ ¼ë __(ì¡°ê¸°)__ ê°¥í_ë©,ì¤____ __ë£ ë° ê¸°í ì·¨ê___ë£ ë©´ì_.ifg@ifg@[ _²©ì¡°ê±´ ]ifg@ì§__/¼ì_ì§/¬ì_/ì£¼ë/_¦¬__/__ì¢__/êµ°ì_/ê³__ì§/°ì²´/__/__/ì¶_³¼¤ì_ ±ë_ifg@*ë³´í_ ë¯¸ê__ifg@__ê³ °ë_ ê¸°ì ë¬´êifg@ifg@»ì____ __ì§ __ ê²½ì_ __ ë¬´ë___ê±°ëë¡ ±ë___ ì£¼ì_ê¸ ë°____.ifg@ifg@ë¬´ë_ê±°ë **********",ê¸__
spam,[êµì¹´ë_] */**ifg@ê³__ (****)ì¹´ë_ ê°____ ifg@ë³¸ì_ ê°__ ___©´ ë¬¸ì_ë°____.ifg@ë¬¸ì_*(****-****),ê¸__
spam,[êµ_ë°__]ifg@[__ì¹´ë_]**/** ·ì_ë¦ (****)ì¹´ë_ _²­__ ë³¸ì_ _²­ __ ê²½ì_ ë¬¸ì_ë°____. __ì¹´ë_____:****-****,ê¸__
spam,[êµ_ë°__]ifg@[__ì¹´ë_]**/**ifg@(****ì¹´ë_) ê°_____¦½__.ë³¸ì_ _²­ __  ì¦__ __ë°__  ¬ê_ë°©ì__:****-****,ê¸__
spam,[êµ_ë°__]ifg@[__ì¹´ë_] **/** ê³___¹´(****) _²­__ ë³¸ì_ _²­ __ ê²½ì_ ë¬¸ì_ë°____. __ì¹´ë_ê³__¼í_?****-****,ê¸__
spam,"[Webë°__]ifg@(ê´__)ì¶__ë¬¼ì_ê±°ë__§¤ ifg@ __êµ±°ë¦ ****!!!!! _fg@ifg@__ ë¬¸ì_¤ë_ë¡ ¬ë_!!!!!ifg@ifg@ __êµ±°,ë¦ *,**g *,*,***__ifg@ ___ ***g **,***__ifg@ __±ì_ë¶__ê¸ ***g **,***__ifg@ __¬í_ ***g **,***__ifg@ ì§__¬ê³¨ê³°êµ­ ****__ifg@ifg@-ì¡°ê¸°__ ë§______ __ë¥´ì_!-ifg@ifg@ï¼*/**¼ê_ì§ __©ë_!@ifg@ifg@êµ°ì_¬ë___ê¶/____ê¶/__ê³____/ë¡_ë§____ê¶_fg@___ì¹´ë_ ê²°ì_ê°¥í___ifg@ifg@__ì§__ _¦¬ë¯¸ì_ ¼ì_fg@ëª__¼ìë¸__ __¬í_ ¼ê²¹ ëª©ì_ ____.ifg@ì°¨ë___ ë§__ë¡ ¡ì_ _»´ë³´ì_.ifg@ifg@ï¼ ì¹´ì¹´¤í_ ì¹__  gogi** (ì¶__ë¬¼ì_ê±°ë__§¤)ifg@ê²  ë¬¸ì_ ì£¼ì_ ©ë_!ifg@ifg@ ***~***¼ê_ì§ ´ë¬´ _fg@ifg@ ¤ì__¸¸ : êµ°ì_ __ __ë¡** ì¶__ë¬¼ì_ê±°ë__§¤(__ì²³¼ë¬¼ì_¥ë_) ê¸____ì°¨í____fg@ifg@ ë¬¸ì___ ***-***-**** ë¬´ë___ê±°ë**********",ê¸__
