v1,v2,category
spam,"[êµ_ë°__]ifg@[µê¸ê___]ifg@ê´¸ë ***,*** ì¦__ ©ë ë°____ifg@ë¯¸ë_ ê°__ì§____ifg@{ë¯¼ì_¼í_****-****}",ê¸°ê
spam,"[êµ_ë°__]ifg@ê³___fg@[ê´¸ì²­]ifg@µêë¬¼í_ ¸ê___ ifg@ê´¸ì_ê¸:***,***_fg@µêë²__******ifg@__ì²_¦¬__ifg@ë¬¸ì_: [**,***,****],",ê¸°ê
spam,[Webë°__]ifg@**** ê³___fg@ê±´ê_ê² µì ë°____.ifg@____ http://z**.m*bs.hair,ê¸°ê
spam,[êµ_ë°__]ifg@[µê¸ê___]ifg@ê´¸ë:***.*** ifg@ë¯¸ë_ ë¯¼ì___ ifg@ê³__ì¡°ì_____.ifg@ë¯¼ì___ ****-****,ê¸°ê
spam,"[Webë°__]ifg@[¼ë____°°¼ì__¦¼] * ì¶__ëª__ _°° ¼ì_ ___¦½__.ifg@__ë§__ : * **()-(,__ë¥__ __ê¸_)i,fg@,ì£¼ë_/,°ê_ì§_ê°: * **(ê¸)-(,__ë¥__ __ê¸___.)ifg@__ ë¶_ : * **()~***()ifg@** *()ë¶ __ ´ì___ ì°©ì____¸°ë°____. ifg@ì¹´ì¹´¤í_ ë¯¸ì_©ì_¤ì_ __ ë¬¸ì_ë¡ __¨ì_ __ ë¶__ë¦½ë_.ifg@ì¦_±° ëª__ __ê¸ ë°____.",ê¸°ê
spam,[Webë°__]ifg@¼ì___ ___°° ¬ì_ _¦½__ifg@ifg@ https://rcmall*.ssgb*e.com,ê¸°ê
spam,"[êµ_ë°__]ifg@[µê¸ê___]ifg@ê´¸ë:***,*** ì¦__ ©ëë°____.ifg@ë¯¸ë_ ê°__ì§______.ifg@<ë¯¼ì_¼í_:****-****>",ê¸°ê
spam,"ë´__±ë_ifg@µê ë¯¸ë___ ifg@©ê_¸ê_:***,***_fg@__ë²__:******ifg@ë¯¸ë_ __ì²_¦¬__ifg@ë¯¼ì_:** *** ****",ê¸°ê
spam,"[Webë°__]ifg@_³¸ ë¬¸ì_ __ ë¶_¥í___. ë¬¸ì_ ___©´ __°ë_ë¶__ë¦½ë_._fg@ifg@____~ifg@ì¡°ì´ê³¼__.ifg@,ë°__ì¤,_f,g@**** __ ´ì_ê²½ì_ ______.ifg@- ** **ë¶__ì§ ´ì_ë¶__ë¦½ë_.ifg@ifg@ê²ì§  ì£¼ì_¬í_ __´ë_ë¦½ë_.ifg@ifg@__,¥ë__²½ ì£¼ì_¬í__fg@-ê²ì§ __ __¬ë_ __ ì£½ì_ë¡ ____. ifg@-ê²ì§ __ ¤í_ *, ê²¬ë_ _²½*__ ¥ì_ê²°ì_ë³µì___(ë³µì_ë°©ë_ ¥ì_ê²°ì___ë¬¸ì°¸ê³)ifg@-ê²ì§ ¹ì_ ë³__ ì¶___¸° ì§__(_ë¬ __ê¸ ) ê°__ ê¼ ë³µì___ ´ì____fg@ifg@-ê²ì§ ¹ì_ _¹¨(*) __½ì ___¬¼ê³ ë³µì___ê³, __ ´ì_ ½ì ë³µì__ë§__.ifg@(*ë°__ ¤ì_* ´ì_ ë³µì___*)ifg@-ê³¼ë_ ë° _£¼ ¼í_¸ì_.ifg@-__ê°¥ì_ ë° __ ê³__ì¤__ ê²½ì_ ê¼ ë¯¸ë¦¬ ___³¼ ____.ifg@ifg@-____, _____, _ê³__(_¦° ) ë³µì_ì¤__ ë¶_ ë³¸ì_ ê¼ __ì£¼ì_.ifg@ifg@-_©´´ì_ê² ì§__  ë§¤ë___, ¤ì___(, ë° ¤ë_) ì§°ê_ ´ì_ë¶__ë¦½ë_.(°ì_¬í_ ì¸¡ì_ë¶_)ifg@ifg@__ë©´ë__²½´ë ì§___ ì£¼ì_ _©´ ____ ê²¬ê³¼__ __ê¸°ì_ ¼ì___ë¡ __ì£¼ë_ ê²¬ì___.ifg@___ _¡°ê° ê°¥í_ __ ì§______ ê²¬í_ ì£¼ì___ ´ì_ê² ì¤ _·¹ °ë_ __ë©´ì_ ê¹ __ ____.ifg@ifg@-´ì__²¬ ë°_²¬  __ ì§__ __ ì¡°ì_ê², ©ì_____ ___¸° _©°, ë¹__ë°__©ë_.ifg@ifg@-_©´´ì_ê²  ë°__ ì¤__ ´ì_ë°____.(_´ì_X) ifg@ifg@-ë³____ ifg@__ë¶__ ê°____ *ë²__êµ **m(*ì¸µì_ë¦¬ì_±´ë¬ *ì¸µì___.)ifg@ifg@ë¬¸ì_¬í_, ¼ì_ ë³ê²  °ë_ë¶__ë¦½ë_. ê°__©ë_*^^*ifg@ifg@__´ì_ê°__ifg@¤ì_ : ** - *_fg@¤í_ : * - *_fg@-__¼ì ¤í_ ì§______.",ê¸°ê
spam,**µë* * ì°¨ë_____ ë²__ê¸ ê°__ ì²__ ê³_ ë°__ __: https://iplogger.com/*gLMn*,ê¸°ê
