v1,v2,category
spam,"[Web발신]ifg@당일 환급 ifg@**만원→***,***원ifg@**대 어머님도 행복 ifg@https://dokdo.in/*Iz",기타
spam,[Web발신]ifg@김성대님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@손신영님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@myungsoo-cha님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@안훈선님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@김주택****님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@최성순님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@이일건님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@정수님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,"[국외발신]ifg@김상분님ifg@통관물품 세금확인 ifg@미납세금:***,***원ifg@통관번호******ifg@자동처리예정ifg@민원** **** ****",기타
spam,[Web발신]ifg@민원홍님ifg@단 한번이라도 손해시 ifg@제 사비드릴게요ifg@ifg@*월 **명 모집중ifg@ifg@https://vvd.bz/cpVU,기타
spam,[Web발신]ifg@김수민님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@까르홍님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@사랑스런그녀님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
spam,[Web발신]ifg@김재욱님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,기타
