v1,v2,category
spam,[Web諛__]ifg@__ 洹쇰Т濡_fg@**留__->***留__ifg@_갑 吏__ 怨듦_以_fg@명_鍮 댁_留___fg@https://dokdo.in/mQ*,대깽
spam,"[Web諛__]ifg@(愿__) [_移대_ PRIVIA 났] 罹__댄___ 났沅 *+* __紐⑥_ifg@ifg@[밸_ __]  ifg@- * __  * 댁_ 諛,沅 ,,ifg@- 援_ 理_ *竊 __ 荑__ifg@- ___낫湲 : https://tidesq.com/****b*ifg@ifg@__ __ 諛 __ы_ _移대_ PRIVIA ы_ __댁 李멸_ifg@ifg@[臾몄_] ****-**** > 났 *踰_fg@[臾대___嫄곕] ***-***-****",대깽
spam,[Web諛__]ifg@濡__ 臾대_ 遺__ 踰__ *二 곗_ __!ifg@ifg@*遺__ ___린ifg@https://kakatalk.at/com,대깽
spam,"留ㅼ_ **遺__ifg@媛____ifg@***,*** __ifg@***,*** __ifg@ifg@https://vvd.bz/cs*x",대깽
spam,"[Web諛__]ifg@(愿__)댁___媛__ ifg@ifg@__遺_ 댁_以__ 怨____ _━ 밸_ ___fg@ 臾대갑臾, 臾댁_瑜, 臾대낫利_fg@,__,_껌,留__濡 뱀_ __ifg@ 怨__由ъ뭅__, ____, *湲__沅_異 _fg@ifg@__遺_ 명_멸_듭_  ifg@ ****-****  대_吏__ 議곗_誘멸낵_fg@ifg@ :湲곗〈 ____ 異____⑹뭅_낫 怨___fg@__:ㅽ___*ifg@__:理_ *泥__ 대_ifg@:곗_**諛깅___(KCB寃곗_곗____굔媛_낫______)ifg@(KCB,NICE)CB__援ш_**援ш_대_몄_ifg@湲_━:理_*.**%~理__**%(*媛__蹂__由,異_린媛*,곗_*泥__,**.*.**湲곗)ifg@湲곗湲_━:__湲곗湲_━(湲__梨_A+)*媛__蹂: *.**% 媛곌_由:*.**~**.**(__깃_蹂_감)ifg@異_린媛:理__*~理_*(곕_)ifg@__諛⑸_:_━湲__깅____fg@以______猷:*.*%異____*媛__寃쎄낵_㈃ 댁_⑸_린:留ㅼ_댁_⑹_쇳_痍_fg@湲_━명__뎄沅: 몄:鍮_낵_fg@룰_쎌껜寃곗_ __ㅻ_ 諛 쎄 쎌_蹂댁_湲곕____fg@룹_泥댁_ 吏곕같__瑜(쎌_댁_+*%, 理__  **%) 諛___ŉ 梨_Т__ ъ_/____ 遺__(湲고_댁___ ) 諛__  ____ifg@룹___μ_鍮__ 異__ 怨쇰__꼍 媛______ ______硫, 댁_곕_ 湲__嫄곕_ 愿⑤_ 遺__듭_ 諛________.ifg@룹__린媛 _━湲__ 곗껜_꼍 怨__留__ ____ 紐⑤_ _━湲__ 蹂__ _Т媛 諛________ifg@룰_듦린愿 __愿由щ 怨__  뱁_諛_낫利_린愿__ __ 異 遺_꺽__ __ 異__ __  ____ifg@룰_듭_鍮__蹂댄_踰 **議*_곕_ __ ㅻ___쇱_ 沅_━媛____ifg@룸_밸_대듭_湲곗 곕_ ____猷____ifg@ifg@蹂 SMS 怨____ **** ** **쇱_ SMS __ ___湲곗_ 諛____듬_.ifg@以踰______ : ****--**(__湲곌_:****.**.**源_)ifg@臾대___嫄곕 ***-***-****",대깽
spam,[援_諛__]ifg@__닿_ 異_肄__: Countdown* 媛湲:https://app.adjust.com/**ip*b*q ___㈃ 異⑹_沅 __!,대깽
spam,[Web諛__]ifg@L*TT* 뱀꺼 __ 踰__ifg@留ㅼ＜ 湲__ ** 議고_ifg@援щℓ 吏__ 吏湲_fg@_갑!ifg@http://gg.gg/***qrg,대깽
spam,媛__ ** ㏃_猷멤___怨듬_fg@ifg@*** **** ****ifg@ifg@紐⑤__fg@buly.kr/FAZr*UTifg@ifg@㏃_ifg@___fg@媛__臾대_쎌_,대깽
spam,__蹂댁_吏__源_ifg@__遺고_湲__吏_（留__ifg@湲고_____ ≪_ ⑸__fg@http://gg.gg/**nswq,대깽
spam,"ㅼ_踰 * *二쇱감ifg@⑤_ ***,***__濡_fg@*쇰_ *,***,***?ifg@臾대_ 吏__ifg@https://dokdo.in/w*R",대깽
spam,媛__ ** ㏃_猷멤_댄_怨ㅻ_fg@ifg@*** **** ****ifg@ifg@紐⑤__fg@buly.kr/*n*GWLhifg@ifg@㏃_ifg@___fg@媛__臾대_쎌_,대깽
