v1,v2,category
spam,아빠 나 폰 망가져서 통화 안되니깐 확인하면 여기로 답해줘~~ 부탁할게 있어,지인
spam,엄`마 내.폰 망가져서 수리맡겼어 이연락처 카/톡 친추하고 톡해줘~ 급,지인
spam,엄마 ~내.폰 먹통 돼여서 센터 맡겼어 ~여기로 문자 줘 ~,지인
spam,엄마 내핸폰 먹통되여 전원켜지지않아..현재 연락처 저장하고 카톡추가해서 톡줘!,지인
spam,나 폰 수리 맡겨서 본인인증확인 안돼ㅠ 엄마 명의로 신청해도돼?,지인
spam,아빠~ 내폰 실수로 떨어트렸는데 박살났어요 이번호 저장해서 카톡 보내주세요 부탁할거 있어서요,지인
spam,엄마 나 폰 고장이라 임시폰으로 문자했어 문자 확인되면 여기로 답줘,지인
spam,"통화하다 폰 떨어뜨렸어, 지금 수리맡기고 문자중인데 엄마 지금 바뻐?",지인
spam,엄마 내폰화면 고장낫어 현재이버호 연락처 저장하고 카톡보내줘,지인
spam,아빠 나 폰 먹통됐어 확인하면 여기로 문자줘,지인
spam,엄마 지금 머해 바빠? 나 폰깨져서 as보냈는데 지금 여기로 문자줘~,지인
spam,아빠 뭐해 바뻐?나지금 폰 고장나서 잠깐이번호 쓰고 있어 이번호 저장하고 답장해줘 부탁할거 있어,지인
spam,아빠나 폰 고장나서 임시용번호 사용하고있는데 확인하면 여기로 답줘,지인
spam,아빠 전화 고장나서 센터에 수리맡겨서 전화안된깐 ..문자보면 이번호로 문자해줘 ~,지인
spam,엄마 내핸폰화면 깨져서 A/S에 보냈어. 이번호 카톡`추가해서 톡해줘,지인
spam,아빠 나폰 고장나서 술리맡겻어 전화안되니깐  ...메시지 확인하면 이번호로 회답해줘,지인
spam,엄마 나야 지금번호 저장하고 카톡추가해서 톡줘. 나폰 깨져서 센터보냈어..,지인
spam,[Web발신]ifg@가족교연상님ifg@톡방 운영정책위반으로ifg@새로운방으로 이동 ↓ifg@https://gost.at/tm,지인
spam,아빠  난데 문자들어가면 여기로 답장줘~ 폰 고장났어ㅠ,지인
spam,아빠 나 핸드폰 망가졌어 이거 임시폰 문자확인하면 답장해줘~,지인
spam,엄마 내 핸폰 깨져서 전원 꺼져있어.지금 *********** 를 카톡추가하고 톡해줘,지인
spam,아빠 나 폰액정 먹통됐어.. 잠시 이번호 사용하니까.. 확인하면 답장줘 ~,지인
spam,아빠 나 폰 액정 나가서 서비스센터에 맡겼어 문자 보면 여기로 답해줘...,지인
spam,"아빠  나 폰 고장났어,  부탁할꺼 잇는데 문자 확인되면 여기로 답장줘 ~",지인
spam,엄마 난데 핸드폰 망가짐 지금 임시폰 사용중이야. 이번호에 카톡해줘~,지인
spam,"'나폰수리 때문에 파손보험접수해야 되는데 내거로 인증안돼 ,잠깐 아빠명의로 보험접수 해도돼?",지인
spam,[국제발신]ifg@엄마 지금 시간되면 이 카톡 추가해줘 dlatlqj 카톡추가하고 톡해줘  폰 고장나서 수 리 맡겼어,지인
spam,엄마 나~휴대폰 고장나서 통화 안돼...임시폰으로 문자중이니 이번호로 답장줘,지인
spam,엄마!!내폰 화면 박살나서 그래 이전화번호로 카카오톡 추가해서 톡보내줘~!,지인
spam,엄마 나 핸드폰 박살났어이번호로 답장줘 급하게 부탁할거있어~,지인
spam,아빠 나 핸드폰 수리 맡겼어. 확인하면 이번호로 답장줘,지인
spam,아빠  문자 확인돼 ?  내폰 고장나서 센터에 수리맡기고 임시로 받은폰인데 통화가 안되고 문자만가능해 확인되면 답장줘 ..,지인
spam,엄마 내 전화 화면 깨져서 터치 안대.지금 번호에 카톡해줘 급!,지인
spam,"엄마 현재이번호로 카톡+하고 톡해줘,핸드폰화면 박살났어 ㅠ",지인
spam,"나야 엄마 내 전화 고장났어 할얘기있는데 카,톡추가하고 톡보내줘!",지인
spam,아빠 바빠 ? 폰 액정 나가서 수리 맡겼어.확인하면 이번호로 문자줘~,지인
spam,아빠 내 폰 고장나서 통화가 안돼 ~이번호로 문자줘 부탁있어,지인
spam,아빠  나 폰 통화하다가 떨어뜨려서 수리 맡기고 임시폰 쓰고있어요 메세지확인하면 답줘요,지인
spam,아빠 문자보면 여기로 문자해줘 내폰 수리맡겨서 전화안되 ~,지인
spam,아빠 전화 수리맡겨놧어 통화안대... 문자보면 답좀줘...,지인
spam,다름이 아니고 액정간편 보험 가입하려 하는데 내폰은 고장이라 엄마걸로 신청해도되?,지인
spam,아빠~ 내 전화기 박살나서 그러는데 이전번으로 카톡 추가해서 톡보내줘,지인
spam,엄마  나핸드폰 고장낫어 현재번호 연락처 저장하고 카톡으로 톡보내줘,지인
spam,아빠~~난데지금 폰박살나서 수리중 이전번으로 카톡 추가하고 톡줘!,지인
spam,"엄마 내폰 망가져 화면꺼져있어,  할말있어 이번호에 카톡추가해서 연락줘~",지인
spam,아빠 난데 지금 폰 고장나 수리맡겼어. 부탁이 있는데  문자확인하면  이번호로  답장줘,지인
spam,엄마~나지금 폰박살낫는데 이번호로 카톡추가하고 톡해줘,지인
spam,아빠 나폰고장나 통화가안돼 문자보면 이번호로 문자해줘,지인
spam,아빠 나 휴대폰 떨어뜨려서 터치가 안돼서 센터에 맡겼는데 큰 문제는 아니라고해 문자보면 여기로 답해줘...,지인
spam,아빠 나 폰 통화하다 떨어뜨려 A/S맡기고 임대폰사용하고 있어요 문자확인하면 답줘요~,지인
spam,아빠 나야 폰 액정깨져서 센터에 수리맡기고 임시로 받은폰인데 통화가안되고 문자만가능해.. 내문자확하면 답장줘,지인
spam,아빠 나 핸드폰이 고장이라 임시 보ㄴ내는데 번호 저장하고 여기에 답줘~,지인
spam,아빠 나 휴대폰 영화중에.부주의로 떨어져서 통화 안돼 메시지확인하면  여기로 대답해줘.아빠,지인
spam,액정보험처리 때문에 통신사 인증받아야 되는데 임시용폰이라 인증 확인이 안돼 아빠 폰으로 인증번호 받고 보험처리 해도돼??,지인
spam,엄 마통화하다 폰 떨어뜨려서 수리맡겻어 잠깐 시간괜찬으면 부탁하나 들어줄래?,지인
spam,엄마 나 폰 화면 망가졌어 ㅜ 이번호 저장하고 카톡줘 .,지인
spam,엄마  나 휴대폰  고장나서 통화 안돼  메시지 확인하면 이번호에  대답해줘..,지인
spam,엄마 나 폰 떨어뜨렸는데 터치가 안돼서 서비스에 맡겼는데 큰 문제는 아니라고해 문자보면 여기로 답해줘,지인
spam,"엄마 내꺼 핸드폰 고장나 수리맡겼어,이번호 카톡추가하고 톡해줘,부탁할거 있어...",지인
spam,아빠..나 폰 액정이 망가져서 수리 맡기고 태블릿으로 문자하는데 통화가 안돼..문자 확인되면 답장줘~,지인
spam,아빠  난데 폰 고장나서 임시용받아 문자보냈는데 문자확인되면 여기로 답장줘~,지인
spam,엄마 내전화화면 먹통되어 터치안됨ㅜ 이번호를 카톡추가하고 톡으로 연락줘~,지인
spam,엄마 나 폰 수리 맡겻어. 확인하면 여기로 문자해줘,지인
