v1,v2,category
spam,__   ë§_¸ì_ µí_ ____ ___©´ ¬ê¸°ë¡ µí_ì¤~~ ë¶__ê² __,ì§
spam,`ë§ . ë§_¸ì_ _¦¬ë§¡ê²¼ ´ì_½ì_ ì¹/ ì¹____ ¡í_ì¤~ ê¸,ì§
spam,__ ~. ë¨¹í_ ¼ì_ ¼í_ ë§¡ê²¼ ~¬ê¸°ë¡ ë¬¸ì_ ì¤ ~,ì§
spam,__ ´í_ ë¨¹í___ __ì¼_ì§__..__ °ë_ì² ¥í_ê³ ì¹´í_ì¶_´ì_ ¡ì_!,ì§
spam,  _¦¬ ë§¡ê²¨ ë³¸ì_¸ì___ __ __ ëª__ë¡ _²­´ë_?,ì§
spam,__~ ´í_ ¤ì_ë¡ ¨ì_¸ë___ ë°__¬ì_ ´ë_ ¥í_ ì¹´í_ ë³´ë_ì£¼ì_ ë¶__ê± ____,ì§
spam,__   ê³__´ë_ __°ì_ë¡ ë¬¸ì___ ë¬¸ì_ ___©´ ¬ê¸°ë¡ µì_,ì§
spam,"µí___  ¨ì_¨ë_, ì§ê¸ _¦¬ë§¡ê¸°ê³ ë¬¸ì_ì¤__ __ ì§ê¸ ë°__?",ì§
spam,__ ´í__©´ ê³__«ì_ __´ë_ °ë_ì² ¥í_ê³ ì¹´í_ë³´ë_ì¤,ì§
spam,__   ë¨¹í___ ___©´ ¬ê¸°ë¡ ë¬¸ì_ì¤,ì§
spam,__ ì§ê¸ ë¨¸í_ ë°__?  °ê¹¨¸ì_ asë³´ë___ ì§ê¸ ¬ê¸°ë¡ ë¬¸ì_ì¤~,ì§
spam,__ ë­__ ë°__?_ê¸  ê³____ __´ë_ °ê_ __ ´ë_ ¥í_ê³ µì_´ì_ ë¶__ê± __,ì§
spam,__  ê³____ __©ë_ ¬ì_____ ___©´ ¬ê¸°ë¡ µì_,ì§
spam,__ __ ê³____ ¼í_ _¦¬ë§¡ê²¨ ____ê¹ ..ë¬¸ì_ë³´ë©´ ´ë_¸ë_ ë¬¸ì_´ì_ ~,ì§
spam,__ ´í_°í_ë© ê¹¨ì_ A/S ë³´ë_. ´ë_ ì¹´í_`ì¶_´ì_ ¡í_ì¤,ì§
spam,__ __ ê³____ _¦¬ë§¡ê²» ______  ...ë©__ì§ ___©´ ´ë_¸ë_ __´ì_,ì§
spam,__ __ ì§ê¸__ ¥í_ê³ ì¹´í_ì¶_´ì_ ¡ì_. __ ê¹¨ì_ ¼í_ë³´ë_..,ì§
spam,[Webë°__]ifg@ê°ì¡±ê_°ì__fg@¡ë°© ´ì_____¼ë_ifg@__´ë°©¼ë_ ´ë_ _fg@https://gost.at/tm,ì§
spam,__  __ ë¬¸ì_¤ì_ê°ë© ¬ê¸°ë¡ µì_ì¤~  ê³__¬ì_,ì§
spam,__  ¸ë_ ë§_ì¡__ ´ê±° __ ë¬¸ì____©´ µì_´ì_~,ì§
spam,__  ¸í_ ê¹¨ì_ __ êº¼ì___.ì§ê¸ *********** ë¥ ì¹´í_ì¶___ ¡í_ì¤,ì§
spam,__  °ì_ ë¨¹í___.. __ ´ë_ ¬ì___ê¹.. ___©´ µì_ì¤ ~,ì§
spam,__   ¡ì_ _ __¤ì_°ì_ ë§¡ê²¼ ë¬¸ì_ ë³´ë©´ ¬ê¸°ë¡ µí_ì¤...,ì§
spam,"__    ê³__¬ì_,  ë¶__êº __ ë¬¸ì_ ___©´ ¬ê¸°ë¡ µì_ì¤ ~",ì§
spam,__ __ ¸ë_ ë§_ì§ ì§ê¸ __ ¬ì_ì¤__. ´ë_¸ì_ ì¹´í_´ì_~,ì§
spam,"'___¦¬ _¬¸ __ë³´í___´ì_ __ ´ê±°ë¡ ¸ì___ ,__ __ëª__ë¡ ë³´í___ ´ë_?",ì§
spam,[êµ_ë°__]ifg@__ ì§ê¸ ___©´  ì¹´í_ ì¶_´ì_ dlatlqj ì¹´í_ì¶___ ¡í_ì¤   ê³____  ë¦ ë§¡ê²¼,ì§
spam,__ ~´ë ê³____ µí_ __...__°ì_ë¡ ë¬¸ì_ì¤__ ´ë_¸ë_ µì_ì¤,ì§
spam,__!!´í_ _©´ ë°____ ê·¸ë_ ´ì___¸ë_ ì¹´ì¹´¤í_ ì¶_´ì_ ¡ë³´´ì_~!,ì§
spam,__  ¸ë_ ë°__¬ì_´ë_¸ë_ µì_ì¤ ê¸__ê² ë¶__ê±°ì_~,ì§
spam,__  ¸ë_ _¦¬ ë§¡ê²¼. ___©´ ´ë_¸ë_ µì_ì¤,ì§
spam,__  ë¬¸ì_ __ ?  ´í_ ê³____ ¼í_ _¦¬ë§¡ê¸°ê³ __ë¡ ë°_°ì_ µí_ê° __ê³ ë¬¸ì_ë§_¥í_ ___©´ µì_ì¤ ..,ì§
spam,__  __ _©´ ê¹¨ì_ °ì_ _.ì§ê¸ ë²__ ì¹´í_´ì_ ê¸!,ì§
spam,"__ __´ë_¸ë_ ì¹´í_+__ ¡í_ì¤,¸ë_°í_ë© ë°__¬ì_ ",ì§
spam,"__ __  __ ê³__¬ì_ __ê¸°ì___ ì¹,¡ì_ê°__ ¡ë³´´ì_!",ì§
spam,__ ë°__ ?  ¡ì_ _ _¦¬ ë§¡ê²¼.___©´ ´ë_¸ë_ ë¬¸ì_ì¤~,ì§
spam,__   ê³____ µí_ê° __ ~´ë_¸ë_ ë¬¸ì_ì¤ ë¶__,ì§
spam,__    µí___ê° ¨ì_¨ë_ _¦¬ ë§¡ê¸°ê³ __ °ê___ ë©__ì§___©´ µì_,ì§
spam,__ ë¬¸ì_ë³´ë©´ ¬ê¸°ë¡ ë¬¸ì_´ì_ ´í_ _¦¬ë§¡ê²¨ ____ ~,ì§
spam,__ __ _¦¬ë§¡ê²¨§ì_ µí__... ë¬¸ì_ë³´ë©´ µìì¤...,ì§
spam,¤ë_ __ê³ ¡ì_ê°__ ë³´í_ ê°__ __ ´í_ ê³__´ë_ __ê±¸ë_ _²­´ë_?,ì§
spam,__~  __ê¸ ë°____ ê·¸ë___ ´ì_ë²__ë¡ ì¹´í_ ì¶_´ì_ ¡ë³´´ì_,ì§
spam,__  ____ ê³__«ì_ __ë²__ °ë_ì² ¥í_ê³ ì¹´í_¼ë_ ¡ë³´´ì_,ì§
spam,__~~__ì§ê¸ °ë_´ë_ _¦¬ì¤ ´ì_ë²__ë¡ ì¹´í_ ì¶___ ¡ì_!,ì§
spam,"__ ´í_ ë§_ _©´êº¼ì___,  ____ ´ë_¸ì_ ì¹´í_ì¶_´ì_ °ë_ì¤~",ì§
spam,__ __ ì§ê¸  ê³__ _¦¬ë§¡ê²¼. ë¶__ __  ë¬¸ì____©´  ´ë_¸ë_  µì_ì¤,ì§
spam,__~_ê¸ °ë_´ë___ ´ë_¸ë_ ì¹´í_ì¶___ ¡í_ì¤,ì§
spam,__ __ê³__ µí_ê°__ ë¬¸ì_ë³´ë©´ ´ë_¸ë_ ë¬¸ì_´ì_,ì§
spam,__  ´ë ¨ì_¨ë_ °ì_ê° __ ¼í_ ë§¡ê²¼__  ë¬¸ì_ __¼ê_ ë¬¸ì_ë³´ë©´ ¬ê¸°ë¡ µí_ì¤...,ì§
spam,__   µí___ ¨ì_¨ë_ A/Së§¡ê¸°ê³ _°ì_©í_ê³ __ ë¬¸ì____©´ µì_~,ì§
spam,__ __  ¡ì_ê¹¨ì_ ¼í_ _¦¬ë§¡ê¸°ê³ __ë¡ ë°_°ì_ µí_ê°__ê³ ë¬¸ì_ë§_¥í_.. ´ë¬¸___©´ µì_ì¤,ì§
spam,__  ¸ë_°ì_ ê³__´ë_ __ ë³´ã_´ë_ ë²__ ¥í_ê³ ¬ê¸° µì_~,ì§
spam,__  ´ë __ì¤__.ë¶ì£¼ì_ë¡ ¨ì_¸ì_ µí_ __ ë©__ì§___©´  ¬ê¸°ë¡ µí_ì¤.__,ì§
spam,¡ì_ë³´í_ì²_¦¬ _¬¸ µì_ ¸ì_ë°__ __ __©í_´ë_ ¸ì_ __ __ __ °ì_ë¡ ¸ì_ë²__ ë°__ ë³´í_ì²_¦¬ ´ë_??,ì§
spam, ë§____  ¨ì_¨ë_ _¦¬ë§¡ê²» __ __ê´_°¬¼ë©´ ë¶__ ¤ì_ì¤__?,ì§
spam,__   _©´ ë§_ì¡__  ´ë_ ¥í_ê³ ì¹´í_ì¤ .,ì§
