v1,v2,category
spam,"[Webë°__]ifg@[__ ì±___³´ __]____. __¤ë_¨í_ ì±___³´ë¥ ë³´ë__¦¬ ì§__¬ê __ ê²½ì___ ¸ì_¨ë_°ë_,__, ê¹,(***-****-****)¼ë_ ë¬¸ì___ ì£¼ì_ê¸ ë°____.ifg@__©ì_ë³ ¡ì___ëª : __¤ë_¨í_ ¡ì_©ì_ëª : ¬ë¬´ì§ êµ¬ì_ ¡ëª¨ì§__ì¢ : ê²½ë¦¬¬ë¬´(_¡°) ¡í___ : __ë¬´êifg@¡ê²½¥ì¡°ê± : ê´ê³__(__ê°) ¡ê·¼ë¬´ì__ : ¸ì_ê´__ ¨ë_êµ ¨ì_ ¡ê_©í_ : ê¸°ê_ __ __ ê·¼ë_ê³__ifg@¡ì_ê¸ : __ *,*** ´ì_(____ê°) ¡ì_©ë_¹ì_ : ê¹(***-****-****) ¡ì__°©ë² : ë©´ì_ifg@»ì_¸í_ ´ì_ __ ´ë___ê² ë¬¸ì___ê¸ ë°____.__¹ì_ : ¸ì_¨ë_°ë___¼í_-ê¹(***-****-****)-¸ì_¨ë_°ë___¼í_-ê¹[__]",ì±__
spam,"[Webë°__]ifg@____. ifg@[ì§__ëª¨ì_] ë§¤ë_ ¤ë_ __!!ifg@ ¼ì_ë¦ [êµ¬ì_/ë¶/__] ê° ____ë¶__ ì¢_ __ __ ,´ì°¨,°ë_,__.ifg@´ë_ _¬´ __¼ë_ ¼ì_ ë§__ ë¶ì¡±í_.  ifg@__¼ì __ ì±__ê° ____ ë§__ ì§__ ì£¼ì_.ifg@ifg@ _¬´´ì_ ifg@_¬´ ê´¨í_ ê°__ ¤ë__¦´ê»__. ifg@ë§¤ì_ *-*____ __  êµ¬ë§¤_¸° __´ì£¼__ _¬´__. ifg@__ _¬´ ´ì_ __ ì¹´í_ __ µí_ __ ¤ë_ _¦´ê»__.ifg@ifg@ ê¸__ ê¸°ì ifg@ - ê¸__ ¹ì_ ì§ê¸__ __.ifg@ -  **ë§~**ë§ ê· ´ì_ ì¶©ë_ ê°.  ***´ì_ ê°.ifg@ - __ _¬´ë§__ ¨êê° ¤ë¥´ë¯ë¡ ìµ_ _§¤ __ê¸__ *% ~ ìµ_ **% ì±__.ifg@ - ê¾¸ì__ ±ì___ ë¶__ê», ì¶_±ê³¼ê¸ ë³__ ì§ê¸.ifg@ifg@  ì±__ ___fg@ - ê²½ë_ / __ / ì§ ë¬´ê ©ë_.ifg@ - ì£¼ë __ ¬ì_ë¶__ ì¶©ë_ ______!ifg@ - ì´_³´  ¹ì_ ê°¥í___.ifg@ifg@ ì¹´í_ ____ _fg@ifg@ ´ë_  :  ¤ë_ ë§¤ë_     ifg@ ì¹´í_/__ :  [  eett**  ]ifg@ifg@ ë°__ë²__ ë¬¸ì_ë°__ __ ê´ê³__ ____ ë¶_¥í___.ifg@ ë°__ ì¹´í___ µí_ *ì° ____ _¦¬ê²____.ifg@ifg@ ê¸ ifg@ ¤ë_¸í_ë§ __ë© ´ë___ _¬´ê° ©ë_. ifg@ ì±____ ¤ì_**:** ~¤í_**:** ê¹_ ê°¥í___.ifg@ ê¸__ ¹ì_ ì§ê¸__ ê¸°ì¼ë_ ©ë_.ifg@ __ ´ì_ ê¸°ë_ ¨ì____. ë§_ ë¬¸ì_ ì£¼ì_.",ì±__
spam,"[Webë°__]ifg@____. ifg@[ì§__ëª¨ì_] ë§¤ë_ ì°¨ë __~ifg@¤ë_~ ì¦__ê³ ¬ë_ì° _£¨ __~ifg@ì£¼ì_´ë_ ë¶__ë¡ ,_¦¬,ì°¾ê_ê³, ë¶__ê» ì¢___ __ °ë___.  ifg@¼ì __¼ì __ì§ë§ ì±__ê° __, ê¼¼ê¼¼ ë¶ ë§__ ì§__ ì£¼ì_.ifg@ifg@ _¬´´ì_ ifg@_¬´ ê´¨í_ ê°__ ¤ë__¦´ê»__. ifg@ ¼í_ëª°ì_ ë§¤ì_ *~*____  __´ì£¼_©´ ©ë_. ifg@__ _¬´ ´ì_ __ ì¹´í_ __ µí_ __ ¤ë_ _¦´ê»__.ifg@ifg@ ê¸__ ê¸°ì ifg@ - __ ê±´ë_´ê±´¼ë_ ì§ê¸____.ifg@ - ë§¤ì_ ë§¤ì_ *~*__ ´ì_´ë_ __ë© () **ë§__´ì_ ì¶©ë_ ê°.ifg@ - __ _¬´ë§__ ¨êê° ¤ë¥´ë¯ë¡ ìµ_ _§¤ __ê¸__ *% ~ ìµ_ **% ì±__.ifg@ - __ ì£* *__ ¬ì_ __ ***´ì_ __!!ifg@ifg@  ì±__ ___fg@ - ê²½ë_/ __/ ì§ ë¬´ê.ifg@ - ì£¼ë __ ¬ì_ë¶__ ì¶©ë_ __ __.!ifg@ - ì´_³´ ¹ì_ ê°.ifg@ - ´ì___ ë¶__¼ë©´ _µ¬ ê°_fg@ifg@ ì¹´í_ ____ _fg@ifg@ ´ë_  :  ì°¨ë ë§¤ë_    ifg@ ì¹´í_/__ :  [  mm**  ]   ifg@ifg@ __ë²__ ë¬¸ì_ë°__ __ ê´ê³__ ____ ë¶_¥í___.ifg@ ë°__ ì¹´í___ µí_ *ì° ____ _¦¬ê²____.ifg@ifg@ ê¸ ifg@ ¤ë_¸í_ë§ __ë© ´ë___ _¬´ê° ©ë_. ifg@ ì±____ ¤ì_**:** ~¤í_**:** ê¹_ ê°¥í___.ifg@ ê¸__ ¹ì_ ì§ê¸__ ê¸°ì¼ë_ ©ë_.ifg@ __ ´ì_ ê¸°ë_ ¨ì____. ë§_ ë¬¸ì_ ì£¼ì_.",ì±__
spam,"[Webë°__]ifg@____~   ifg@__ëª©í_ - ë§¤ì_  *** ´ì_, * ´ë_ __!!ifg@ì£¼ì_/ë¶/¬í__¬´ ¨ê_ ¼í_¤ë_ ëª¨ì_©ë_, .,!! if,g@_¬´ __¼ë_ ì¶_ ¸ì_ ëª¨ì_ì¤__ ì¢_ __ __ °ë___. ifg@__¼ì __ì§ë§ ì±__ê° __ ê¼¼ê¼¼ ë¶__ ë§__ ì§__ ì£¼ì_~ifg@ifg@  ë¬ ë° ê¸ _fg@_¬´ ê´¨í_ ê°__ ¤ë__¦´ê»__. ifg@ë§¤ì_ *~*__ __  ¼í_ëª°ì_ ê°__ __´ì£¼__ _¬´__.ifg@__ _¬´ ´ì_ __ __ µí_ __ ¤ë_ _¦´ê»__.ifg@ifg@ê¸__ ¹ì_ ì§ê¸__ __. ifg@¼ì_ê° __¨ì_ë¡ ê³__ __.ifg@_¬´__ °ë_  *ë§~**ë§__, *** ´ì_ ê°¥í_¸ì_.ifg@ifg@     _fg@- ±ë_ë¬´ê / __ë¬´ê / __ë¬´êifg@- ì£¼ë / __ / ¬ì_ / ì§__ / _¦¬__ / ¼ì_ì§_fg@  (ê±´ë_ ì§__ê° , _£¨ *~*__ ê°__ _¬´)ifg@ifg@     [ ì¹´ì¹´¤í_ ë¬¸ì_ ]ifg@ifg@ ´ë_  :  __ ë§¤ë_      ifg@ ¤ì_ê° ì¹´í_ __ ë°__ê°ê¸ ___fg@linktr.ee/brand****ifg@ifg@ __  ë²__ ë¬¸ì_ë°__ __´ë©°, __ __ ë¶_¥í___.ifg@ë°__ ì¹´í___ µí_ *ì° ____ _¦¬ê²____.ifg@ifg@ ê¸ ifg@ __ ¤ì_ **:** ~¤í_ *:** ê¹_ ê°¥í___.ifg@ ____ __ __ê·¼ë¬´ ê° / êµ__ë¹, __ë¹, __ë£ ¼ì²´ __ifg@ __ ´ì_ ê¸°ë_ ¨ì____. ë§_ ë¬¸ì_ ì£¼ì_.ifg@",ì±__
spam,"[Webë°__]ifg@_____fg@êµ¬ì_êµ¬ì_ ì±__ ë§¤ë_ ¡ëê² ___fg@ifg@¬ì ¨ê_ ¼í_ ´ì_ê°__ ifg@__ ë° ì§__ë¶__,ëª¨ì_,__,____ifg@ifg@[ëª¨ì___]ifg@- ì²´í_ ê°__ ë¬¼ë___/ë¬¼ë_ê´ë¦_fg@(__¼ì_ ë§__ ë³´ë_ ¼ê±°ë¦¬ê _£¼ ë§____)ifg@ifg@[ì§__ê²]ifg@- ±ë_ë¬´ê / __ë¬´ê / __ë¬´êifg@- ì£¼ë,¬ì_,__,ì§__,_¦¬__ifg@ (±ì_ ¬ì_ë¶__ °ë©ë_^^)ifg@ifg@ ì¹´ì¹´¤í_ë¬¸ì_ _fg@__¹ì_ : ¡ëê²_fg@_¹´ ID: mk***ifg@ifg@[ê·¼ë¬´__]ifg@- **~** __ ë³¸ì_ ¬ë_ ê·¼ë¬´__ ê¸°ì_ifg@- __ ê° (ex. **~ **)ifg@- ì£ * + ´ì_ê·¼ë¬´  __ *~* ( * ´ë¬´ ê¸°ì)ifg@- ì£¼ë_/ê³µí_ ê·¼ë¬´ __ ´ë¬´ __ __ ê°_fg@- _£¨ *~* __ ¸í_ ___¬´ ifg@ifg@[ê¸____]ifg@- ë§_·¼ê¸°ì  ìµ_ ê¸__ifg@ (ê¸°ë³¸ê¸ ë° ¸ì_°ë_ __ ë° ì§__ ¬í_)ifg@-  : **~**ë§__ ´ì_ / *ê°__ : ìµ__ ***ë§__ ´ì_~ifg@- ¸ì_°ë_ (_¬´ °ë_ ì°¨ë_ __) :  ***ë§__ ~ ifg@ifg@ì§__ê° ë§_ ê´ê³__ __ ¨ê²¨ì£¼ì_ë© ë¹_¥´ê² µë´ë_ë¦¬ê_µë_.ifg@ifg@____ **:**~**:** __",ì±__
spam,"[Webë°__]ifg@____. ifg@[ì§__ëª¨ì_]  ë§¤ë_ ê¹ì§ __!!ifg@ ¼ì_ë¦ [êµ¬ì_/ë¶/__] ê° ____ë¶__ ì¢_ __ __,__ì°,°ë_,__.ifg@´ë_ _¬´ __¼ë_ ¼ì_ ë§__ ë¶ì¡±í_.  ifg@__¼ì __ ì±__ê° ____ ë§__ ì§__ ì£¼ì_.ifg@ifg@ _¬´´ì_ ifg@_¬´ ê´¨í_ ê°__ ¤ë__¦´ê»__. ifg@ë§¤ì_ *-*____ __  êµ¬ë§¤_¸° __´ì£¼__ _¬´__. ifg@__ _¬´ ´ì_ __ ì¹´í_ __ µí_ __ ¤ë_ _¦´ê»__.ifg@ifg@ ê¸__ ê¸°ì ifg@ - ê¸__ ¹ì_ ì§ê¸__ __.ifg@ -  **ë§~**ë§ ê· ´ì_ ì¶©ë_ ê°.  ***´ì_ ê°.ifg@ - __ _¬´ë§__ ¨êê° ¤ë¥´ë¯ë¡ ìµ_ _§¤ __ê¸__ *% ~ ìµ_ **% ì±__.ifg@ - ê¾¸ì__ ±ì___ ë¶__ê», ì¶_±ê³¼ê¸ ë³__ ì§ê¸.ifg@ifg@  ì±__ ___fg@ - ê²½ë_ / __ / ì§ ë¬´ê ©ë_.ifg@ - ì£¼ë __ ¬ì_ë¶__ ì¶©ë_ ______!ifg@ - ì´_³´  ¹ì_ ê°¥í___.ifg@ifg@ ì¹´í_ ____ _fg@   ifg@ ´ë_  :  ê¹ì§ ë§¤ë_     ifg@ ì¹´í_/__ :  [  jiyeon****  ]ifg@ifg@ __ë²__ ë¬¸ì_ë°__ __ ê´ê³__ ë°____ ë¶_¥í___.ifg@ ë°__ ì¹´í___ µí_ *ì° ____ _¦¬ê²____.ifg@ifg@ ê¸ ifg@ ¤ë_¸í_ë§ __ë© ´ë___ _¬´ê° ©ë_. ifg@ ì±____ ¤ì_**:** ~¤í_**:** ê¹_ ê°¥í___.ifg@ ê¸__ ¹ì_ ì§ê¸__ ê¸°ì¼ë_ ©ë_.ifg@ __ ´ì_ ê¸°ë_ ¨ì____. ë§_ ë¬¸ì_ ì£¼ì_.",ì±__
spam,"____. ifg@ì§__ëª¨ì_ ë§¤ë_ ê°__ __.!!ifg@ì¢_ ¼ì_ë¦ __ __ __ °ë___.ifg@ì£¼ì_ / ë¶ ëª¨ë_ ê°¥í___ ì±,__,__,, ê¼¼ê¼¼ ë¶__ ë§__ ì§__ ì£¼ì_.ifg@ifg@ _¬´´ì_ ifg@_¬´ ê´¨í_ ê°__ ¤ë__¦´ê»__. ifg@ë§¤ì_ *-*____ ì§__ _¦° __  êµ¬ë§¤_¸° __´ì£¼__ _¬´__. ifg@__ _¬´ ´ì_ __ ì¹´í_ __ µí_ __ ¤ë_ _¦´ê»__.ifg@ifg@ ê¸__ ê¸°ì ifg@ - ê¸__ ¹ì_ ì§ê¸__ __.ifg@ -  **ë§~**ë§ ê· ´ì_ ì¶©ë_ ê°. (***´ì_)ifg@ - __ _¬´ë§__ ¨êê° ¤ë¥´ë¯ë¡ ìµ_ _§¤ __ê¸__ *% ~ ìµ_ **% ì±__.ifg@ - ê¾¸ì__ ±ì___ ë¶__ê», ì¶_±ê³¼ê¸ ë³__ ì§ê¸.ifg@ifg@  ì±__ ___fg@ - ê²½ë_/ __/ ì§ ë¬´ê.ifg@ - ì£¼ë __ ¬ì_ë¶__ ì¶©ë_ __ __.!ifg@ - ì´_³´ ¹ì_ ê°.ifg@ ifg@ ì¹´í_ ____ _fg@ifg@ ´ë_  :  ê°__ ë§¤ë_     ifg@ ì¹´í_/__ :  [  sooyen**  ]ifg@ifg@ ê¸ ifg@ ¤ë_¸í_ë§ __ë© ´ë___ _¬´ê° ©ë_. ifg@ ì±____ ¤ì_**:** ~¤í_**:** ê¹_ ê°¥í___.ifg@ ê¸__ ¹ì_ ì§ê¸__ ê¸°ì¼ë_ ©ë_.ifg@ __ ´ì_ ê¸°ë_ ¨ì____. ë§_ ë¬¸ì_ ì£¼ì_.ifg@ifg@ __ë²__ ë¬¸ì_ë°__ __ ê´ê³__. ë°__ ì¹´í_´ë_, __ë¬¸ì_ __ë¥ µí_ ì±____ __¦¬ê²____.",ì±__
spam,"[Webë°__]ifg@'(ì£)´ë___' ¤í_ êµ¬ì_ê³µê_ifg@ifg@____ (ì£)´ë___HR ¸ì_ __.ifg@ifg@[ê¸°ë³¸__ __ ê°__ ,ê³ ,¤í_,ë¶ _·¹°ë]ifg@ifg@********(ëª©ì_) __ê·¼ë¬´  ¹ë_ ¸ì_°ë_ *ë§__ ì§ê¸__ê³ ____.ifg@ifg@ ¤ìì¤ _²­ ë¶__ë¦½ë_.ifg@ifg@__ë¡_ NEW ¨ì___ ¤í_ (ì£)´ë_____ ì¶_ __¼ë_ ¸í_ ì§__ë¶__ ëª¨ì_©ë_.ifg@ifg@ __ ë§¤ì_ ¬ì___ **ë¶ ´ì_ __, ±ì___ ì£¼ì_ì§ _¬´__ ____  __ë© ê°¥í___.ifg@ifg@ ¨ê¸°or¥ê¸° ëª¨ë_ ê°¥í_ë©, ±ì___ ´ì_ ¼í___ ì§__ë¶__ê²__   °ëë¥ _¦½__.ifg@ifg@ ¬ëë³´í_ ___ _¸°, ë¶__ë¡__ ê°¥í_ ë§_ ê´¬ê³¼ ë¬¸ì_ ë¶__ë¦½ë_.ifg@ifg@ __ê³ ¥ì_ë¥ ê°ë¦¬ì __   _¸° ¸í_ê² ë¬¸ì_ì£¼ì_ë© ì¢__µë_.ifg@ifg@ _¬´ ë° ì¡°ê±´´ì_ifg@ifg@- ì±__  : __, ì£¼ë, ì·¨ì_ ì¤ë¹__, _¦¬__  _µ¬ ê°_fg@- ì±__ ¸ì_ : __ *ëª ëª¨ì_ ì¤_fg@- __ __ : ** ´ì_ ëª¨ë_ ¨ë~(ë¯¸ì___ ì£__©ë_)ifg@- ê·¼ë¬´ ¼ì_ : ì£*(__~ê¸__)ifg@- ê·¼ë¬´ __ : *__ ~ *__(ë³¸ì_ __ ë§_¶° _¬´ë°°ì_)ifg@- ê·¼ë¬´ ¥ì_ : ¥ì_ë¬´ê(¸ì_ ´ë___ ê°¥í___)ifg@- ê·¼ë¬´ __ : ê³__ì§(ë³__ __x, ¬ëë³´í_ ë¯¸ì_)ifg@- _¬´ ë°©ë_ : °ë_ì£¼ì_ë© __ _¦¬ê²____.ifg@- ê¸__ ë³µì : ¼ë_ **,***(¹ì___ __) - ¸ì_°ë_ ë³__ifg@(¥ê¸°ê·¼ì_ ¬ì_ - ëª__, __, ¬ë¦¬¤ë_, ê°__ ê¸°ë_ __ê¶ __ _¬¼ ì§ê¸!)ifg@ifg@[ __ ë¬¸ì_ ]ifg@(ì£)´ë___ifg@-__°ê²° : https://han.gl/vXnLcWifg@(ì¹´í_´ê¸°-ì±__ì¶_-ë©__ì§ë³´ë_ê¸)ifg@ifg@ì§_¬¸_ ë§_ ê´ê³__ ´ë __ ë¶___,  ì±__ ë§__ë¡ ì§__ì£¼ì_ê¸ ë°____.ifg@ifg@ ¬ì_/ê¸°ê _³´ê° __ (__)´ëë¡ ____ê³ ¸í_ê² ë¬¸ì_ ë°____.ifg@ ê¸ ê¸ ½ì_ì£¼ì_ ê°__©ë_. ´ë_ _¬´ ´ë_´ì_ __ì§ë§, ì±__ê°__ __ ë¶ ì§ ë°____.ifg@ifg@*¸ì_ ´ë___ ¸í_ê³ ê°____ ê¸____  __ ë§_ ì§ ë¶__ë¦½ë_.ifg@*ì§__ê° ë§__ __ *:**~**:** ¬ì_ë¡ __¦¬ê³ __ ì°¸ê_ ë¶__ë¦½ë_.ifg@*´ë_ ë²__ ë°____ ë²__´ëë¡ µí_ ë¶__©°, ì±__ ë§__ ´ë¦­__ ì±__ ì¶_  °ë_ ì£¼ì_ë© ©ë_.",ì±__
spam,** _°°ê¸°ì_ ____±ê³µ! ifg@¨ë¸ì_ µë__OKifg@**ë¶__ë¡ **__ë³µí_¸ì_ifg@ifg@//vo.la/mgr*U,ì±__
spam,"[Webë°__]ifg@__ê· ë§¤ë_ __. ^^ifg@  ifg@¸í_ê² ¬í_ê·¼ë¬´ ê°¥í_ifg@__/ì§__ë¶__ ëª¨ì_ì¤____.ifg@(_°©**ëª ê¸__ê²,ëª¨ì_,ì¤)i,fg@ ifg@[°ë__¬¼¸í_ë°°ì__²´]ifg@ë¬¼ë_ __/ê´ë¦/´í_ifg@ ifg@__/ì§__ ëª¨ì_ì¤____.ifg@´ë_ê±°ë_ ë³µì_ _¬´ __ë©,ifg@¨ì_+ê°__+ë°_³µ _¬´__.ifg@ ifg@_£¨ *-*__ ifg@(*~**ë§__ê¹_ ¹ì_ì§ê¸)ifg@ ifg@[ì¹´ì¹´¤í_ë¬¸ì_]ifg@https://litt.ly/kakaotalk**ifg@(__ ´ì_ ê¸°ë_ ¨ì____)ifg@ ifg@- ë¶/¬ì_/¨ê¸° ê°¥í__fg@- ½ê_+¸í_ê³+ê°__ _¬´ifg@- ¬ë___ __ __ê·¼ë¬´ifg@- ±ë_ë¬´ê/__ë¬´ê/__ë¬´êifg@- ì´_³´__¤ë_ ½ê_ _¬´ê°_fg@- ì£¼ë/¬ì_/_¦¬__ ë¶__ ëª¨ì_ì¤_fg@- ´ì_ê°__ë¶__ ë§_ì§_____fg@ ifg@- ____ **:**~**:** __",ì±__
