v1,v2,category
spam,"留ㅼ_ **遺__ifg@媛____ifg@**,*** __ifg@***,*** __ifg@ifg@https://t.ly/*WtJe",_같
spam,"臾몄___ifg@留____ifg@ifg@RACASlNOifg@abit.ly/*ezksoifg@ifg@*+*/*O+*ifg@O.* COMP__!ifg@+ъ_,_린荑 __媛β_",_같
spam,[Web諛__]ifg@沅____대_由щ_ 媛_랠 댁_ _갑 __쇰_ 諛곗_____.ifg@____ gloryfarm.co.kr,_같
spam,[援_諛__]ifg@(濡__같)ifg@≪_踰__ **-**-*** 臾몄_諛__ifg@諛곗_吏 __ 遺 _┰__ifg@ifg@http://bit.ly/*LRsz*m,_같
spam,異__ _Ъ명_ 諛곗_吏 遺__移__ 諛곗_ 湲 __.(μ_ 紐__ __) https://buly.kr/jVnI*Y,_같
spam,"__  곕_대_ㅼ_ _㈃__, 대_몃_移댄_ 移____≫_以!",_같
spam,"[Web諛__]ifg@____濡__: 蹂몄_媛 ㅻⅤㅻ낫, 곕_ 諛곗_ __  李멸_遺__ㅼ_!ifg@https://chta.lk/bEqlvA*s",_같
spam,[Web諛__]ifg@[NS__]ifg@紐___갚醫__명_ *_fg@諛곗_ 異____ 湲__ _갑__ifg@_S bit.do/nsmall,_같
spam,"??_뎄ν_(*****,__**) 湲__ 諛ㅻ _⑤_(_렇__)ifg@≪_ 諛ㅽ_ *媛__**留__ (諛ㅻ_명_)ifg@〓愿諛,__,__,__ifg@ifg@#___뎄二쇰_諛ㅻ━洹*/**__**/*,*}}}**:**~ ifg@살___(*__吏__)*__紐__*:*泥_━ifg@ifg@*留_____갑__媛(뱀__━__硫*__吏)ifg@ifg@__깆_; ~ *,*遺源_ (*=*)ifg@   삵_;*+*(理_**)ifg@ifg@**媛_“(**),**__,由ш렇,*__吏 蹂몄_,__ __遺 吏__ifg@ifg@**紐__ _렇__/**紐__ __吏 ifg@≫__ щ_?ifg@ifg@??_갭媛 ъ_몃_ __ **遺 *留__ifg@ifg@__珥_뎄 __濡 ** (諛⑸같鍮__)B* [諛⑸같 ***~**] ifg@ifg@*** **** **** __愿 源醫__ 臾몄_,移댄__껌ifg@ifg@__ *** **** **** ** ___뎄理__ ifg@ifg@#踰__몄_(⑥諛__嫄곕━,댁___,諛⑸같__닿만 _감)  ifg@----*몄_ 댁_ *踰__援---留__踰__ **踰, **踰 ifg@----*몄_ 諛⑸같 *踰__援с_*몄_대갑*踰__援---留__踰__ **踰__泥_踰__ ***,***,***踰 ifg@ifg@----*몄_ 대갑 *踰__援с_>嫄몄_ ***m ⑥諛__嫄곕━ 嫄대_ ifg@ifg@__湲___fg@        *媛 /    *媛 /_fg@ *     *    *         *    *ifg@*        *     *         *ifg@*媛        *ifg@*媛  ifg@   *,*遺/**,  */** , */**,ifg@     */*,  */*, *,*/*ifg@ifg@??__湲곕_ 諛ㅻ_ _갑**紐 __鍮 *媛__**留__ (__ 諛 ____)ifg@ifg@??*** _뎄** (__**)ifg@_愿諛 ____ 紐⑥_",_같
spam,_꼍⑷_媛__ifg@__ 諛__ _____fg@諛곗_議고_  http://salewiz.co.kr/infobell_idx.html,_같
spam,FW>ifg@濡__ 臾대_ 遺__ 踰__ *二 곗_ __!ifg@ifg@*遺__ ___린ifg@https://kakatalk.at/com,_같
spam,"[Web諛__]ifg@留ㅼ_ **遺__ifg@媛____ifg@**,*** __ifg@***,*** __ifg@ifg@https://t.ly/lbCdo",_같
spam,** _같湲곗_ ____깃났! ifg@⑤몄_ 듬__OK ifg@**遺__濡 **__蹂듯_몄_ifg@ifg@//vo.la/eYZes,_같
spam,"[援_諛__]ifg@[CJ__]ifg@ifg@듦踰__ 誘몄_移__ 명_ 臾쇳_吏_fg@ifg@__ 二쇱_濡 臾몄_諛____ifg@ifg@https://dokdo.in/x*,*,,",_같
spam,[Web諛__]ifg@源紐_갔怨___fg@__ 諛__ _____fg@諛곗_議고_  http://salewiz.co.kr/infobell_idx.html,_같
spam,"[援_諛__]ifg@[곗껜援_諛]ifg@ifg@듦踰__ㅻ_濡 명_ifg@臾쇳_吏 __ifg@ifg@rebrand.ly/kjokxkuifg@__ 留__瑜 듯_ 臾몄_諛__,__,,",_같
spam,(濡__같)ifg@≪_踰__ **-**-*** ㅻ___ifg@諛곗_吏瑜 __댁＜몄_ifg@ifg@http://bit.ly/*rGJ*kH,_같
spam,"[Web諛__]ifg@대곗_濡_fg@媛____ifg@**,*** __ifg@***,*** __ifg@ifg@https://t.ly/HUODN",_같
spam,[Web諛__]ifg@[ableshop] 諛곗_ ____듬_. ifg@띔뎄留ㅽ_ ___린 : http://asq.kr/xfY*mEDEr,_같
spam,[Web諛__]ifg@[諛곗___]諛곗___ifg@******-***-*ifg@ifg@https://hi-conet.hhi.co.kr/go.html?dvno=*E**Z,_같
