v1,v2,category
spam,[Web발신]ifg@자택 근무로ifg@**만원->***만원ifg@선착순 지원금 공급중ifg@노후대비 내집마련▼ifg@https://dokdo.in/mQ*,이벤트
spam,"[Web발신]ifg@(광고) [현대카드 PRIVIA 항공] 캐세이퍼시픽 항공권 *+* 프로모션ifg@ifg@[특별 혜택]  ifg@- *인 예약 시 *인 운임 발,권 혜,택,ifg@- 국제선 최대 *％ 할인 쿠폰ifg@- 자세히보기 : https://tidesq.com/****b*ifg@ifg@상세 혜택 및 유의사항은 현대카드 PRIVIA 여행 홈페이지 참고ifg@ifg@[문의] ****-**** > 항공 *번ifg@[무료수신거부] ***-***-****",이벤트
spam,[Web발신]ifg@로또 무료 분석 번호 *주 연속 적중!ifg@ifg@*분만에 수령하기ifg@https://kakatalk.at/com,이벤트
spam,"매일 **분씩ifg@간단하게ifg@***,*** 에서ifg@***,*** 수령ifg@ifg@https://vvd.bz/cs*x",이벤트
spam,"[Web발신]ifg@(광고)이정환고객님 ifg@ifg@★전북은행 이용중인 고객님께 드리는 특별한 혜택★ifg@① 무방문, 무서류, 무보증ifg@②,전화,신청,만으로 당일 입금ifg@③ 고금리카드론, 현금서비스, *금융권대출 대환ifg@ifg@★전북은행 언택트금융센터  ifg@☎ ****-****  담당직원 조유미과장ifg@ifg@□ 대상:기존에 전북은행에서 대출또는신용카드보유 고객님ifg@상품:스피드론*ifg@한도:최대 *천만원 이내ifg@대상:연소득**백만원이상(KCB결정연소득또는건강보험료환산소득)ifg@(KCB,NICE)CB점수구간**구간이내인자ifg@금리:최저연*.**%~최고연**%(*개월변동금리,대출기간*년,연소득*천만원,**.*.**기준)ifg@기준금리:시장기준금리(금융채AA+)*개월변동: 연*.**% 가산금리:연*.**~**.**(신용등급별차등)ifg@대출기간:최소*년~최대*년(연단위)ifg@상환방법:원리금균등분할상환ifg@중도상환수수료:*.*%대출실행후*개월경과시면제 이자납부시기:매월이자납입일후취ifg@금리인하요구권:대상 인지세:비과세ifg@▷계약체결전 상품설명서 및 약관을 읽어보시기바랍니다ifg@▷연체시 지연배상금률(약정이자율+*%, 최고 연 **%)이 발생하며 채무자의 재산/신용상의 불이익(기한이익상실 등)이 발생할 수 있습니다ifg@▷상환능력에비해 대출금이 과도할경우 개인신용평점이 하락할수있으며, 이에따라 금융거래와 관련된 불이익이 발생할수있습니다.ifg@▷일정기간 원리금이 연체될경우 계약만료 도래전에 모든 원리금을 변제하는 의무가 발생할수있습니다ifg@▷금융기관 신용관리대상 고객 등 당행및보증기관에서 정한 대출 부적격자에 대하여는 대출이 제한될 수 있습니다ifg@▷금융소비자보호법 제**조*항에따라 상품 설명을받으실 권리가있습니다ifg@▷법령및내부통제기준에 따라 작성된자료입니다ifg@ifg@본 SMS는 고객님께서 ****년 **월 **일에 SMS 수신을 동의하였기에 발송되었습니다.ifg@준법감시심의필 : 제****-나-**호(유효기간:****.**.**까지)ifg@무료수신거부 ***-***-****",이벤트
spam,[국제발신]ifg@농땡이강호 추가코드: Countdown* 가기:https://app.adjust.com/**ip*b*q 접속하면 충전권 수령!,이벤트
spam,[Web발신]ifg@L*TT* 당첨 예상 번호ifg@매주 금요일 ** 조합ifg@구매 지원금 지급ifg@선착순!ifg@http://gg.gg/***qrg,이벤트
spam,강남 **시 셧츠룸♥정성공대표ifg@ifg@☎*** **** ****ifg@ifg@모바일ifg@buly.kr/FAZr*UTifg@ifg@셧츠ifg@레깅스ifg@강남무료픽업,이벤트
spam,원금보장지원금까지ifg@예치부터환급까지하루만에ifg@기회는왔을때 잡아야 합니다ifg@http://gg.gg/**nswq,이벤트
spam,"네이버 *월 *주차ifg@단돈 ***,***원으로ifg@*일만에 *,***,***원?ifg@무료 지원금ifg@https://dokdo.in/w*R",이벤트
