v1,v2,category
spam,"[Web발신]ifg@[워크넷 채용정보 안내]안녕하세요. 제이앤디써키트 채용정보를 보내드리니 지원의사가 있으신 경우에는 인천남동산단,새일센,터 김,은혜(***-****-****)으로 문의하여 주시기 바랍니다.ifg@◎채용정보 □사업장명 : 제이앤디써키트 □채용제목 : 사무직 구인 □모집직종 : 경리사무원(제조) □필요학력 : 학력무관ifg@□경력조건 : 관계없음(신입가능) □근무예정지 : 인천광역시 남동구 남촌동 □고용형태 : 기간의 정함이 없는 근로계약ifg@□임금 : 시급 *,***원 이상(임금협의가능) □채용담당자 : 김은혜(***-****-****) □전형방법 : 면접ifg@※자세한 내용은 알선 담당자에게 문의하시기 바랍니다.◎담당자 : 인천남동산단새일센터-김은혜(***-****-****)-인천남동산단새일센터-김은혜[워크넷]",채용
spam,"[Web발신]ifg@안녕하세요. ifg@[직원모집] 매니저 윤빛나 입니다!!ifg@ 일자리 [구직/부업/알바] 가 필요하신분께 좋은 소식 있어 안,내차,연락,드려요.ifg@이번에 업무 확장으로 일손이 많이 부족해요.  ifg@힘든일은 아니니 책임감 있으신분들 많이 지원해 주세요.ifg@ifg@▣ 업무내용 ifg@업무 관련해서 간단한 설명드릴께요. ifg@매일 *-*시간정도 상품에 대한 구매후기 작성해주시는 업무에요. ifg@자세한 업무 내용은 아래 카톡 상담을 통해 상세한 설명 드릴께요.ifg@ifg@▣ 급여 기준 ifg@ - 급여는 당일 지급을 원칙.ifg@ - 일 **만~**만 그 이상도 충분히 가능.  월***이상 가능.ifg@ - 수당은 업무마다 단가가 다르므로 최대 판매 수익금의 *% ~ 최대 **% 책정.ifg@ - 꾸준하고 성실하신 분들께, 추가성과금 별도 지급.ifg@ifg@ ▣ 채용 접수대상ifg@ - 경력 / 학력 / 지역 무관 합니다.ifg@ - 주부 또는 여성분들도 충분히 할수있습니다!ifg@ - 초보자 도 당연히 가능합니다.ifg@ifg@▣ 카톡 상담안내 ▣ifg@ifg@→ 담당자  :  윤빛나 매니저     ifg@→ 카톡/아이디 :  [  eett**  ]ifg@ifg@※ 발신번호는 문자발송 전용인 관계로 수신상담이 불가능합니다.ifg@ 반드시 카톡상담을 통해서 *차 접수안내 드리겠습니다.ifg@ifg@▣ 기 타ifg@※ 스마트폰만 있다면 어디서나 업무가능 합니다. ifg@※ 채용상담은 오전**:** ~오후**:** 까지 가능합니다.ifg@※ 급여는 당일 지급을 기준으로 합니다.ifg@※ 상담 내용은 기록이 남지않습니다. 많은 문의 주세요.",채용
spam,"[Web발신]ifg@안녕하세요. ifg@[직원모집] 매니저 차민정 입니다~ifg@오늘도~ 즐겁고 희망찬 하루 되세요~ifg@주업이나 부업으로 일,자리,찾고계,신 분들께 좋은소식 있어서 연락드려요.  ifg@일은 힘든일은 아니지만 책임감 있고, 꼼꼼한 분 많이 지원해 주세요.ifg@ifg@▣ 업무내용 ifg@업무 관련해서 간단한 설명드릴께요. ifg@저희 쇼핑몰에서 매일 *~*시간정도  작업해주시면 됩니다. ifg@자세한 업무 내용은 아래 카톡 상담을 통해 상세한 설명 드릴께요.ifg@ifg@▣ 급여 기준 ifg@ - 수당은 건바이건으로 지급합니다.ifg@ - 매일 매일 *~*시간 열심이만 하시면 (일) **만원이상 충분히 가능.ifg@ - 수당은 업무마다 단가가 다르므로 최대 판매 수익금의 *% ~ 최대 **% 책정.ifg@ - 평균 주*회 *시간 투자 알바시 월***이상 수령!!ifg@ifg@ ▣ 채용 접수대상ifg@ - 경력/ 학력/ 지역 무관.ifg@ - 주부 또는 여성분들도 충분히 할수 있어요.!ifg@ - 초보자 당연히 가능.ifg@ - 열정있으신 분이라면 누구도 가능ifg@ifg@▣ 카톡 상담안내 ▣ifg@ifg@→ 담당자  :  차민정 매니저    ifg@→ 카톡/아이디 :  [  mm**  ]   ifg@ifg@※ 수신번호는 문자발송 전용인 관계로 전화상담이 불가능합니다.ifg@ 반드시 카톡상담을 통해서 *차 접수안내 드리겠습니다.ifg@ifg@▣ 기 타ifg@※ 스마트폰만 있다면 어디서나 업무가능 합니다. ifg@※ 채용상담은 오전**:** ~오후**:** 까지 가능합니다.ifg@※ 급여는 당일 지급을 기준으로 합니다.ifg@※ 상담 내용은 기록이 남지않습니다. 많은 문의 주세요.",채용
spam,"[Web발신]ifg@안녕하세요~   ifg@회사목표 - 매출 년 ***억 이상, *년 이내 상장!!ifg@주업/부업/재택업무 함께 일하실분들 모집합니,다 .,!! if,g@업무 확장으로 추가 인원 모집중에 좋은 소식 안내 연락드려요. ifg@힘든일은 아니지만 책임감 있고 꼼꼼한 분들 많이 지원해 주세요~ifg@ifg@▣ 업 무 및 급 여ifg@업무 관련해서 간단한 설명드릴께요. ifg@매일 *~*시간 정도 저의 쇼핑몰에서 간단한 작업해주시는 업무입니다.ifg@자세한 업무 내용은 아래 상담을 통해 상세한 설명 드릴께요.ifg@ifg@급여는 당일 지급을 입니다. ifg@일시간 시간단위로 계산 되세요.ifg@업무량에 따라 일 *만~**만원, 월*** 이상 가능하세요.ifg@ifg@■ 접 수 대 상 ■ifg@- 성별무관 / 나이무관 / 학력무관ifg@- 주부 / 대학생 / 여성 / 직장인 / 프리랜서 / 일용직ifg@  (건당 진행가능 , 하루 *~*시간 간단한 업무)ifg@ifg@▣ 상 담 안 내 [ 카카오톡 문의 ]ifg@ifg@→ 담당자  :  정다영 매니저      ifg@→ 실시간 카톡 상담 바로가기 ↓↓↓ifg@linktr.ee/brand****ifg@ifg@※ 수신된 대표 번호는 문자발송 전용이며, 전화 상담이 불가능합니다.ifg@반드시 카톡상담을 통해서 *차 접수안내 드리겠습니다.ifg@ifg@▣ 기 타ifg@※ 상담은 오전 **:** ~오후 *:** 까지 가능합니다.ifg@※ 원하시는 시간대 자율근무 가능 / 교육비, 위탁비, 수수료 일체 없음ifg@※ 상담 내용은 기록이 남지않습니다. 많은 문의 주세요.ifg@",채용
spam,"[Web발신]ifg@안녕하세요ifg@구인구직 채용 매니저 송미경 입니다ifg@ifg@저희와 함께 일하실 열정가득하신 ifg@알바 및 직원분들을,모집,하고,있습니다ifg@ifg@[모집안내]ifg@- 체험단 각종 물류작성/물류관리ifg@(플랫폼이 많다 보니 일거리가 아주 많습니다)ifg@ifg@[지원자격]ifg@- 성별무관 / 나이무관 / 학력무관ifg@- 주부,여성,대학생,직장인,프리랜서ifg@ (성실한 여성분들 우대합니다^^)ifg@ifg@▣ 카카오톡문의 ▣ifg@→담당자 : 송미경ifg@→카톡 ID: mk***ifg@ifg@[근무시간]ifg@- **~**시 또는 본인 희망 근무시간 기재ifg@- 파트타임 가능 (ex. **시~ **시)ifg@- 주 *회 + 휴일근무 월 평균 *~*회 (월 *회 휴무 기준)ifg@- 주말/공휴일 근무시 평일 휴무 시간 선택 가능ifg@- 하루 *~* 시간 편한 자율업무 ifg@ifg@[급여안내]ifg@- 만근기준 월 최대 급여ifg@ (기본급 및 인센티브 수당 및 지원금 포함)ifg@- 일 : **~**만원 이상 / *개월 : 최소 ***만원 이상~ifg@- 인센티브 (업무에 따라 차등 적용) : 월 ***만원 ~ ifg@ifg@지원자가 많은 관계로 상담 남겨주시면 빠르게 답변해드리겠습니다.ifg@ifg@상담시간은 **:**~**:** 입니다",채용
spam,"[Web발신]ifg@안녕하세요. ifg@[직원모집]  매니저 김지연 입니다!!ifg@ 일자리 [구직/부업/알바] 가 필요하신분께 좋은 소식 있어,안내차,연락,드려요.ifg@이번에 업무 확장으로 일손이 많이 부족해요.  ifg@힘든일은 아니니 책임감 있으신분들 많이 지원해 주세요.ifg@ifg@▣ 업무내용 ifg@업무 관련해서 간단한 설명드릴께요. ifg@매일 *-*시간정도 상품에 대한 구매후기 작성해주시는 업무에요. ifg@자세한 업무 내용은 아래 카톡 상담을 통해 상세한 설명 드릴께요.ifg@ifg@▣ 급여 기준 ifg@ - 급여는 당일 지급을 원칙.ifg@ - 일 **만~**만 그 이상도 충분히 가능.  월***이상 가능.ifg@ - 수당은 업무마다 단가가 다르므로 최대 판매 수익금의 *% ~ 최대 **% 책정.ifg@ - 꾸준하고 성실하신 분들께, 추가성과금 별도 지급.ifg@ifg@ ▣ 채용 접수대상ifg@ - 경력 / 학력 / 지역 무관 합니다.ifg@ - 주부 또는 여성분들도 충분히 할수있습니다!ifg@ - 초보자 도 당연히 가능합니다.ifg@ifg@▣ 카톡 상담안내 ▣ifg@   ifg@→ 담당자  :  김지연 매니저     ifg@→ 카톡/아이디 :  [  jiyeon****  ]ifg@ifg@※ 수신번호는 문자발송 전용인 관계로 발신상담이 불가능합니다.ifg@ 반드시 카톡상담을 통해서 *차 접수안내 드리겠습니다.ifg@ifg@▣ 기 타ifg@※ 스마트폰만 있다면 어디서나 업무가능 합니다. ifg@※ 채용상담은 오전**:** ~오후**:** 까지 가능합니다.ifg@※ 급여는 당일 지급을 기준으로 합니다.ifg@※ 상담 내용은 기록이 남지않습니다. 많은 문의 주세요.",채용
spam,"안녕하세요. ifg@직원모집 매니저 강소연 입니다.!!ifg@좋은 일자리 소식 있어 안내 연락드려요.ifg@주업 / 부업 모두 가능하시니 책,임감,있고,, 꼼꼼한 분들 많이 지원해 주세요.ifg@ifg@▣ 업무내용 ifg@업무 관련해서 간단한 설명드릴께요. ifg@매일 *-*시간정도 지정해 드린 상품에 대해 구매후기 작성해주시는 업무에요. ifg@자세한 업무 내용은 아래 카톡 상담을 통해 상세한 설명 드릴께요.ifg@ifg@▣ 급여 기준 ifg@ - 급여는 당일 지급을 원칙.ifg@ - 일 **만~**만 그 이상도 충분히 가능. (월***이상)ifg@ - 수당은 업무마다 단가가 다르므로 최대 판매 수익금의 *% ~ 최대 **% 책정.ifg@ - 꾸준하고 성실하신 분들께, 추가성과금 별도 지급.ifg@ifg@ ▣ 채용 접수대상ifg@ - 경력/ 학력/ 지역 무관.ifg@ - 주부 또는 여성분들도 충분히 할수 있어요.!ifg@ - 초보자 당연히 가능.ifg@ ifg@▣ 카톡 상담안내 ▣ifg@ifg@→ 담당자  :  강소연 매니저     ifg@→ 카톡/아이디 :  [  sooyen**  ]ifg@ifg@▣ 기 타ifg@※ 스마트폰만 있다면 어디서나 업무가능 합니다. ifg@※ 채용상담은 오전**:** ~오후**:** 까지 가능합니다.ifg@※ 급여는 당일 지급을 기준으로 합니다.ifg@※ 상담 내용은 기록이 남지않습니다. 많은 문의 주세요.ifg@ifg@※ 수신번호는 문자발송 전용인 관계로. 반드시 카톡이나, 상담문의 전화를 통해서 채용상담 도와드리겠습니다.",채용
spam,"[Web발신]ifg@'(주)어반에어' 오픈 구인공고ifg@ifg@안녕하세요 (주)어반에어HR 인사팀 입니다.ifg@ifg@[기본적인 예의와 개념이 있,고 성,실하신,분 적극우대]ifg@ifg@****년**월**일(목요일) 정상근무 시 특별 인센티브 *만원 지급하고 있습니다.ifg@ifg@셀프 스케줄 신청 부탁드립니다.ifg@ifg@●새롭게 NEW 단장하여 오픈한 (주)어반에어에서 추가 확장으로 인하여 직원분들 모집합니다.ifg@ifg@☞ 정말 매일 여유시간 **분 이상 있고, 성실하게 주어진 업무량을 소화하실 수 있으면 가능합니다.ifg@ifg@☞ 단기or장기 모두 가능하며, 성실하고 열심히 일하시는 직원분에게는 더 큰 우대를 드립니다.ifg@ifg@☞ 사대보험이 적용되지 않기에, 부업으로도 가능하니 많은 관심과 문의 부탁드립니다.ifg@ifg@☞ 시간과 장소를 가리지 않고 할 수 있기에 편하게 문의주시면 좋겠습니다.ifg@ifg@● 업무 및 조건내용ifg@ifg@- 채용 대상 : 대학생, 주부, 취업 준비생, 프리랜서 등 누구나 가능ifg@- 채용 인원 : 신입 *명 모집 중ifg@- 나이 제한 : **세 이상 모든 남녀~(미성년자는 죄송합니다)ifg@- 근무 일자 : 주*일(월요일~금요일)ifg@- 근무 시간 : *시간 ~ *시간(본인의 시간대에 맞춰 업무배정)ifg@- 근무 장소 : 장소무관(언제 어디서든 가능합니다)ifg@- 근무 형태 : 계약직(별도 서류x, 사대보험 미적용)ifg@- 업무 방법 : 연락주시면 안내 드리겠습니다.ifg@- 급여 복지 : 일당 **,***(당일정산 원칙) - 인센티브 별도ifg@(장기근속 포상 - 명절, 생일, 크리스마스, 개인 기념일 상품권 또는 선물 지급!)ifg@ifg@[ 상담 문의 ]ifg@(주)어반에어ifg@-상담연결 : https://han.gl/vXnLcWifg@(카톡열기-채널추가-메세지보내기)ifg@ifg@지원문의가 많은 관계로 휴대폰 수신은 불가하오니, 위 채널 링크로 지원해주시길 바랍니다.ifg@ifg@※ 사업자/기관 정보가 확인된 (회사)이므로 안심하시고 편하게 문의 바랍니다.ifg@※ 긴 글 읽어주셔서 감사합니다. 해당 업무는 어려운일은 아니지만, 책임감이 있으신 분 지원 바랍니다.ifg@ifg@*언제 어디서든 편하고 간단하게 글작성하실 수 있으니 많은 지원 부탁드립니다.ifg@*지원자가 많아 응답은 *:**~**:** 사이로 도와드리고 있으니 참고 부탁드립니다.ifg@*해당 번호는 발신전용 번호이므로 통화는 불가하며, 채널 링크 클릭하셔서 채널 추가 후 연락 주시면 됩니다.",채용
spam,**세 택배기사 아버님도성공! ifg@남녀노소 억대년봉OKifg@**분으로 **년행복하세요ifg@ifg@//vo.la/mgr*U,채용
spam,"[Web발신]ifg@전명근 매니저 입니다. ^^ifg@  ifg@편하게 재택근무 가능한ifg@알바/직원분들을 모집중입니다.ifg@(선착순**명 급하게,모집,중)i,fg@ ifg@[연말선물세트배송업체]ifg@물류 작성/관리/타이핑ifg@ ifg@알바/직원 모집중입니다.ifg@어렵거나 복잡한 업무는 없으며,ifg@단순+간단+반복 업무입니다.ifg@ ifg@하루 *-*시간 ifg@(*~**만원까지 당일지급)ifg@ ifg@[카카오톡문의]ifg@https://litt.ly/kakaotalk**ifg@(상담 내용은 기록이 남지않습니다)ifg@ ifg@- 부업/투잡/단기 가능해요ifg@- 쉽고+편하고+간단한 업무ifg@- 희망하는 시간대에 자율근무ifg@- 성별무관/나이무관/학력무관ifg@- 초보자분들도 쉽게 업무가능ifg@- 주부/여성/프리랜서 분들 모집중ifg@- 열정가득한분들의 많은지원바랍니다ifg@ ifg@- 상담시간은 **:**~**:** 입니다",채용
