v1,v2,category
spam,"매일 **분씩ifg@간단하게ifg@**,*** 에서ifg@***,*** 수령ifg@ifg@https://t.ly/*WtJe",택배
spam,"문의요망ifg@마감임박ifg@ifg@RACASlNOifg@abit.ly/*ezksoifg@ifg@*+*/*O+*ifg@O.* COMP시작!ifg@+올인,후기쿱 수령가능♥",택배
spam,[Web발신]ifg@권광순님이드리는 감귤 내일 도착 예정으로 배송했습니다.ifg@영광농장 gloryfarm.co.kr,택배
spam,[국제발신]ifg@(롯데택배)ifg@송장번호 **-**-*** 문제발생ifg@배송지 확인 부탁 드립니다ifg@ifg@http://bit.ly/*LRsz*m,택배
spam,추석 선물세트 배송지 불일치로 배송 대기 입니다.(장성 명품 한우) https://buly.kr/jVnI*Y,택배
spam,"엄마 나 폰떨어뜨려서 화면나갔어, 이번호로카톡 친추하고톡해줘!",택배
spam,"[Web발신]ifg@제이더플로어: 본사가 다르다보니, 따로 배송 되시는 점 참고부탁드려요!ifg@https://chta.lk/bEqlvA*s",택배
spam,[Web발신]ifg@[NS홈쇼핑]ifg@명품양갱종합세트 *호ifg@배송 출발하여 금일 도착예정ifg@▶NS앱 bit.do/nsmall,택배
spam,"??탁구장확장(***평**대,대회용**대) 금토일 밤대회 확대함니다(디그닉스)ifg@ㅡ신입 밤회원 *개월**만원 (밤동호회도)ifg@ㅡ대관및,상설,동호회,대환영ifg@ifg@#서초탁구주말밤리그*/**토ㆍ**/*토,*일}}}**:**~ ifg@※정시시작(*시까지입장)ㅡ*회호명후*:*처리ifg@ifg@ㆍ*만원입금선착순마감(당일자리있으면*시까지)ifg@ifg@ㆍ혼성오픈; ~ 남*,여*부까지 (여*=남*)ifg@   ※핸디;*+*(최대남*여*)ifg@ifg@ㆍ*인*개조(**대),*전*선승,풀리그,*위까지 본선,또는 상위부 진출ifg@ifg@♡**명이상 디그닉스/**명이상 테너지 ifg@ㅡ하위부 러버?ifg@ifg@??대회참가자 포인트레슨 토ㆍ일 **분 *만원ifg@ifg@ㆍ서초구 동광로 ** (방배빌딩)B* [방배동 ***~**] ifg@ifg@ㆍ*** **** **** 서초관장 김종수 문자,카톡신청ifg@ifg@ㆍ농협 *** **** **** ** 서초탁구최종해 ifg@ifg@#버스노선(함지박사거리,이수시장,방배동사이길 하차)  ifg@----*호선 이수역 *번출구---마을버스 **번, **번 ifg@----*호선 방배역 *번출구ㆍ*호선내방역*번출구---마을버스 **번ㆍ청색버스 ***,***,***번 ifg@ifg@----*호선 내방역 *번출구ㅡ>걸어서 ***m 함지박사거리 건너 ifg@ifg@☆승급규정ifg@        *강 상/하    *강 상/하ifg@ *위     *점    *         *    *ifg@*위        *     *         *ifg@*강        *ifg@*강  ifg@   ※*,*부/**점,  */** , */**,ifg@     */*,  */*, *,*/*ifg@ifg@??확장기념 밤반 선착순**명 월회비 *개월**만원 (상설 밤 동호회도)ifg@ifg@??***평 탁구대**대 (대회용**대)ifg@ㆍ대관및 상설동호회 대모집",택배
spam,엄경용고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,FW>ifg@로또 무료 분석 번호 *주 연속 적중!ifg@ifg@*분만에 수령하기ifg@https://kakatalk.at/com,택배
spam,"[Web발신]ifg@매일 **분씩ifg@간단하게ifg@**,*** 에서ifg@***,*** 수령ifg@ifg@https://t.ly/lbCdo",택배
spam,**세 택배기사 아버님도성공! ifg@남녀노소 억대년봉OK ifg@**분으로 **년행복하세요ifg@ifg@//vo.la/eYZes,택배
spam,"[국제발신]ifg@[CJ대한통운]ifg@ifg@통관번호 미일치로 인해 물품지연ifg@ifg@아래 주소로 문의바랍니다ifg@ifg@https://dokdo.in/x*,*,,",택배
spam,[Web발신]ifg@김명찬고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,"[국외발신]ifg@[우체국택배]ifg@ifg@통관번호오류로 인해ifg@물품지연 안내ifg@ifg@rebrand.ly/kjokxkuifg@상단 링크를 통해 문의바랍,니다,,",택배
spam,(롯데택배)ifg@송장번호 **-**-*** 오류확인ifg@배송지를 확인해주세요ifg@ifg@http://bit.ly/*rGJ*kH,택배
spam,"[Web발신]ifg@휴대폰으로ifg@간단하게ifg@**,*** 에서ifg@***,*** 수령ifg@ifg@https://t.ly/HUODN",택배
spam,[Web발신]ifg@[ableshop] 배송이 완료되었습니다. ifg@▶구매확정 하러하기 : http://asq.kr/xfY*mEDEr,택배
spam,[Web발신]ifg@[배송시스템]배송완료ifg@******-***-*ifg@ifg@https://hi-conet.hhi.co.kr/go.html?dvno=*E**Z,택배
spam,[Web발신]ifg@즐거운 명절 보내세요.ifg@오늘 **시 택배 마감합니다.ifg@지그몰ifg@https://shly.link/fqrur,택배
spam,"[Web발신]ifg@휴대폰으로ifg@간단하게ifg@**,*** 에서ifg@***,*** 수령ifg@ifg@https://t.ly/e*p*T",택배
spam,[국제발신]ifg@[C.J대한통운]ifg@(송장번호*******)배송지가동일하지않아보관중입니다ifg@https://tinyurl.com/*n*b*c*c,택배
spam,"갤럭시수리ifg@아이폰수리ifg@갤럭시탭수리ifg@아이패드수리ifg@애플워치수리ifg@휴대폰포렌식복구ifg@카톡문자사진 삭제복구ifg@잠긴,폰해,제ifg,@ifg@익산 순돌이모바일",택배
spam,'이 방법'으로ifg@매일 **분씩ifg@간단하게ifg@*만 → **만 수령ifg@ifg@https://t.ly/*MokW,택배
spam,매일 **분씩ifg@간단하게ifg@*만 → **만 수령ifg@추석에도 가능ifg@ifg@https://t.ly/M**x_,택배
spam,[Web발신]ifg@오옥선고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,[CJ택배]배달중배달받을 곳을 선택해주세요*:현관앞*:경비실*:본인*:기타https://buly.kr/*XHshA*,택배
spam,[Web발신]ifg@임이호고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,"[Web발신]ifg@금일 참여인원 **명ifg@휴대폰으로ifg@간단하게ifg@**,*** →ifg@***,*** 수령ifg@ifg@https://t.ly/xK*Kb",택배
spam,"(해외결제) 확인코드**** [KRW ***,***] 결제가 완료되었습니다. 배송관련 고객센터 bit.ly/**ruU*o",택배
spam,[Web발신]ifg@[경인물류센터] 출입예약 바코드입니다. https://kcms.kepco.co.kr/b?w=**********,택배
spam,"[국제발신]ifg@전회원수령가능!ifg@※당일입금자ifg@ifg@추석EVENT♥?ifg@ifg@다양한쿠폰ifg@게시판확인!ifg@ifg@PHARAOH_SIotifg@ab,it.ly,/**cs,uf",택배
spam,"[국제발신]ifg@해외구매ifg@결제금액:***,***원ifg@배송품 입고완료ifg@*/**일 배송예정ifg@고객센터:****-****",택배
spam,엄마 내전화기 고장낫어 할말잇어 그런데 *********** 저장하고 카톡해줘,택배
spam,[Web발신]ifg@장종철고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,[Web발신]ifg@김경자고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,[Web발신]ifg@조동민고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,[Web발신]ifg@매일 **분씩ifg@간단하게ifg@*만 → **만 수령ifg@ifg@https://t.ly/yupsd,택배
spam,[국외발신]ifg@cj 대한통운 (송장번*******) 주소지가 일치하지 않아 보관중입니다 https://tinyurl.com/pn*j***y,택배
spam,[국제발신]ifg@(롯데택배)ifg@송장번호 **-**-*** 문제 확인ifg@배송지 수정 부탁드립니다ifg@ifg@http://bit.ly/**QbQod,택배
spam,[Web발신]ifg@김갑동고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,고객님 지정한 장소에 두고갑니다 오배송시 바로 연락 부탁드립니다.ifg@https://bit.ly/빠른배달b잇고맛집,택배
spam,[Web발신]ifg@박영신고객님ifg@상품이 발송될 예정입니다ifg@배송조회 ☞ http://salewiz.co.kr/infobell_idx.html,택배
spam,[Web발신]ifg@[꽃비]고객님께서 주문하신상품을 가족 정애원님께 배송완료-꽃배달 http://www.***.co.kr/f/*******,택배
